stage,blastomeres,epidermis,eye,glial,hatching_gland,lateral_line,mesenchyme,neural,otic,pgc,pronephros,spinal_cord
  5-6,32.67,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,8.45,0,7.71,0,0
 10-12,0,0,0,0,4.64,0,0,8.4,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.17,0,0,0,0
 24-34,0,0,0,0,0,0,0,4.22,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.33,0,0,0,2.47
 48-58,0,0,0,0,0,0,0.75,0.76,0.54,0,0,0
 60-70,0,0.83,0,0,0,0,0.88,0,1.71,0,0.58,0
 72-82,0,0,0.8,0.84,0,0.79,0.73,1.05,2.28,0,0,0.84
 84-94,0,0,0.71,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.08,0,0,1.24,0,1.3,0,0,0.87,0
108-118,0,0.52,0,0,0,0,0,2.09,0,0,0,0
120,0,0,3.78,0,0,1.15,0,9.52,0,0,0,0
