stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.61,3.72,0,0,17.1,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,813.97,0,0,0,0,0.95,0,10.99,0,0,0,0,0,0,0,0,43.21,4.57,0,12.47,86.18,7.91,0,0,2.53,0,10.38,0,7.47,8.08,30.22,0,0,0,0,0
 24-34,0,0,346.79,0,0,12.03,0,22.88,0,8.95,0,0,0,0,0,0,0,0.69,49.35,5.04,0,17.98,550.32,0,15.79,0,0,0,0.82,4.43,0.69,3.44,116.86,0,0,8.8,0,0
 36-46,0,0,79.5,0,0,33.94,0,11.86,16.3,6.06,0,0.71,11.77,0,0.57,2.05,0,0,175.75,1.38,0,48.32,1874.77,0,11.38,1.93,0,0,0,1.4,0,0,217.04,0,0,19.83,0,0
 48-58,0,0,57.14,1.33,0,156.19,0,14.98,78.44,33.03,0,4.03,2.21,0,4.07,1.08,6.39,3.73,401.92,0.95,0.79,99.75,4495.81,0,16.97,1.22,0,0,1.84,2.15,0,0,346.44,0,0,15.64,0,4.25
 60-70,0,0,23.96,0.6,0,568.16,3.95,31.29,99.52,103.01,0,0.58,13.17,0,10.32,2.18,1.2,9.95,637.22,4.66,2.12,99.85,7503.99,0.66,20.35,2.98,0,1.85,13.71,0,0,0,431.19,0,0,26.25,1.15,3.35
 72-82,0.64,0,66.19,7.02,0,1636.09,0.98,19.35,118.65,162.44,3.01,3.15,7.14,0.61,9.99,0.69,8.04,0,1214.62,1.49,10.42,136.16,7936.69,2.98,32.36,1.68,0,0,4.32,0.57,0,0,464.17,0,3.4,25.09,6.93,33.27
 84-94,1.33,0,92.39,3.74,0,1371.12,1.34,55.12,112.57,131.72,2.2,0,2.25,4.8,12.86,1.32,0,0,932.42,0.69,10.29,100.23,4832.06,0,30.55,6.11,0,5.57,13.04,2.04,0,0,203.08,0.83,3.92,7.92,5.44,9.94
 96-106,0,0.64,140.9,4.22,0.66,2289.14,2.26,38.44,87.49,123.16,4.86,6.75,4.04,7.6,27.37,11.62,8.41,0,1033.78,3.48,14.21,113.17,5004.08,2.03,53.23,9.14,0,13.2,18.17,0,0,0,134.64,1.13,5.42,11.76,6.08,9.66
108-118,0,0,138.82,3.05,0,1507.1,0,78.72,48.01,148.04,2.4,0,7.03,23.71,86.67,2.72,1.67,0,1274.36,1.63,26.17,109.63,5126.17,0,14.19,13.08,0,10.65,2.81,0.67,0,0,142.3,0,0,63.51,2.66,0
120,0,0,152.3,0,1.71,1436.11,0,35.41,49.69,152.42,5.76,0,12.07,0,37.66,0,24.04,0,978.88,0,65.53,96.96,6856.88,0,38.33,1.16,0,13.85,6.45,3.56,0,0,97.37,0,0,66.15,0,0
