stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.96,0,0,0,0,0,0
 14-21,0,0,0,47.8,0,0,0,0,0,0,0.91,0,0,0,0,3.29,0,0,2.09,0,0,0,0,0,1.16,1.1,0,0,0,5.08,0,2.01
 24-34,0,1.05,0,4.41,0.61,0,0.74,0,0,0,8.76,0,0,0,2.18,2.51,0,5.64,8.24,0,0,0,0,0,0,0,0,0,0,8.72,0,7.54
 36-46,0,0,0.87,0,0.58,9.8,0.74,0,0,0,5.71,0,1.11,0,2.79,3.9,0,8.09,4.76,0,4.16,0,0,0,0.78,0,0,0.94,0,1.76,0,59.79
 48-58,0,0,0,0.97,2.36,0,5.42,0,0,0.48,7.12,0,0,0,7.3,10.36,0,3.51,4.94,0,0.98,0,0,0,0,0.37,0,1.03,0,6.83,0,38.85
 60-70,0,0,0,0.67,11.02,0,2.38,2.14,0,0,2.6,0.71,0,0,1.34,29.81,1.19,1.49,17.81,0,2.27,0,0,0,0,0,0,0,0,2.64,0,71.84
 72-82,0,1.61,0,3.41,9.87,0,4.66,5.67,1.31,1.85,16.27,0,1.19,0,1.12,72.11,0,2.44,10.59,0.53,4.04,0.56,0,1.84,0,0,0,2.06,0,4.84,0,82.51
 84-94,0,2.18,0,7.37,2.25,0,1.75,5.77,0.62,0.79,28.96,0,0,0.86,9.48,61.25,0,2.09,15.84,0,1.05,0,0,0,0,0,0,0.69,0,5.38,3.3,72.08
 96-106,0,0,1.43,8.86,5.42,0.97,2.9,17.75,2.9,0.99,27.67,0.59,0,0,1.37,90.69,11.78,0.58,23.43,0,14.68,0,2.64,0,0,1.5,0,4.12,0,5.01,2.51,98.61
108-118,0,0.84,2.08,2.89,10.97,0.59,1.03,2.51,0,6.54,39.74,0,8,0,16.11,64.89,2.52,2.18,34.17,0,9.15,1.82,0,0,0.42,0,0.49,1.24,1.34,4.54,14.22,134.39
120,0,7.45,0,5.91,1.79,0,0,14.24,0,0,27.42,0,3.04,0,6.08,69.05,1.45,3.92,20.47,0,3.06,0,0,0,1.53,0,0,15.77,0,3.65,0,59.43
