stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,75.3,505.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.71,420.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.94,0,0,8.78,0,0,8.64,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,140.97,6.68,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.1,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.33,0,0,0,18.74,0,0,0,0,12.47,0,0,0,0,0,0,0
 14-21,0,0,1.13,0.94,17.31,2.72,0,0,0,1.26,0,0,0.92,0,0,0,0,0,0,1.63,0,0,2.35,38.6,0,18.53,16.99,0.82,0,4.26,0,4.25,0,3.31,4.18,14.71,0,4.3,0,0
 24-34,0,0,3.43,0,12.08,0,4.1,0,0,1.67,0,0,0,0.71,1.24,0,5.87,0,0,22.06,0,0,4.91,74.29,0,40.67,151.72,0,0,2.66,1.06,0,0,0.67,0.64,15.58,0,3.6,0,0.64
 36-46,0,0,0,0,0,0,14.14,0,0,4.83,0,0,0,0,0,0,3.76,0,1.99,11.59,0,0.8,3.7,27.24,0,3.15,98.64,0,0,2.25,0,0,0,0,0,15.77,0,2.34,0,0
 48-58,0,0,0,0,2.57,1.52,15.64,0,0.46,3.7,0,0,0.77,1.02,0.46,0,21.82,0,0.58,7.13,0,0,4.15,55.44,0,0,87.46,0,0,3.3,0,0,0,0.92,0,5.96,0,2.67,0,8.62
 60-70,0,0,0,0,2.34,0,25.27,0,0,22.21,0.62,0,0,0,0,0.63,44.1,0,8.55,11.72,0,0,0,28.01,0,1.91,207.39,0,0,6.84,0,0,0,1.46,0,7.65,0,0,0,17.14
 72-82,0,0,0,0,1.88,0,19.64,0,0,33.83,0,0,0.89,0,0,0,86.54,6.63,3.5,30.85,0,2.23,1.65,70.33,0,2.91,269.5,0,2.17,1.85,0,0,0,0,0,9.25,0,2.19,2.36,43.08
 84-94,0,0,1.4,0,0,0,32.88,1.83,0,38.18,0,0,0,0,1.8,0.64,98.26,1.67,5.66,38.56,0,1.77,4.77,36.98,0.64,0.76,321.87,0,0,9.15,0,0,0,0,0,6.61,2.73,1.21,0.72,9.81
 96-106,0,0,1.1,0,2.11,3.87,22.38,0.68,1.24,34.25,2.07,0,0,5.45,0,0.61,167.81,0,0.6,51.56,1.63,0,1.72,66.93,0.62,2.4,419.87,0,1.03,6.47,0,0,0,0,0,0,0,1.58,0,10.33
108-118,0,0,0,0,2.55,2.36,12.84,1.91,1.57,39.84,0.93,0,0,0.69,0.57,1.87,121.63,0,0.61,47.77,1.04,4.58,4.91,47.2,0,0.47,346.41,0,0,4.34,0.42,0,0,0,0,6.98,0,2.45,0.49,8.3
120,1.12,0,0,0,1.96,0,8.11,0,0,17.56,0,0,0,1.73,0,0,70.07,0,0,46.47,0,0,0,73.46,1.73,12.77,212.63,0,0,0,0,0,0,0,0,0,0,0,0,0
