stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,13.4,0,0,0,0,0.9,0,0,0,0,0,0,0,0,2.5,0,0
 48-58,0,0,0,0,0.96,0,0,0,0,4.08,0,0,0,0,0,7.76,0,0.47,0,0,5.58,0,0,0,0,0,0,0,0,2.49,0,0
 60-70,0,0,0,0,5.75,0,0,0,0,41.29,0,0,0,0,0,29.59,0,7.24,0,0,3.64,0,0,0,0,0,0,0,0,0,1.73,0
 72-82,0.9,1.16,1.11,0,33.33,0,2.32,0,8.06,187.6,0,0,0,0,0,174.65,0,40.14,0.86,0,66.98,0,0.97,0,0,0,0,7.01,0,3.79,7.37,0
 84-94,0,0,0,0,13.81,2.96,0,0,2.26,437.54,0,0.82,0,0,0,614.92,1.13,20.52,8.26,0,51.51,0,0,0,3.26,0,0,5.34,0,4.26,11.47,0
 96-106,3.39,6.79,11.81,0,44.98,1.06,0,0,7.13,621.07,1.03,0,1.18,2.29,0.79,806.94,0,31.52,1.18,1.18,161.46,2.74,2.83,0,3.17,0,0,1.73,0.59,5.81,11.56,8.68
108-118,0,5.72,1.79,0.48,33.75,0,0,0.58,6.36,646.32,2.54,0.47,0,0,0,1220.2,0,64.15,2.71,6.9,124.32,1.21,1.07,0,5.78,0.47,0.51,0,0.83,16.6,22.54,2.28
120,0,2.75,7.49,0,20.97,0,0,1.44,0,178.2,0,19.16,0,0,0,604.54,0,34.7,4.59,0,87.6,0,0,9,7.23,0,0,0,0,3.82,133.07,0
