stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,43.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,44.01,58.96,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.93,11.01,2.07,0,1.72,0,0,0,0,1.03,3.65,0,0,3.57,0,0,0,5.15,2.72,0,0,0,61.63,61.57,2.37,1.77,0.87,0,23.1,5.14,1.71,0.82,9.39,42.2,0,0,1.26,0,2.49
 24-34,0,0.61,0,18.11,0.6,0,31.17,0,2.96,0.63,2.22,0,1.09,2.1,2.57,8.94,16.68,0.75,0,5.81,26.27,0.61,0,5.98,378.2,18.58,17.29,5.01,0,0,68.37,0,4.94,0,6.23,114.29,0,0,13.46,0,9.32
 36-46,0,0,0,5.23,0,0,61.76,0,1.02,0.6,5.25,0.67,3.2,0,5.98,8.29,39.82,1.61,0,36.96,36.94,0.68,0,6.2,736.07,15.51,10.63,7.52,0,0,89.79,0,3.8,2.28,0,158.11,0,0,7.08,0,94.69
 48-58,0,0,0,13.05,1.37,0,134.39,0,2.2,2.82,34.52,2.43,0,0.66,2.91,14.85,191.67,1.16,5.3,41.39,62.18,1.34,1.86,9.96,798.97,3.2,6.45,1.57,0,0,49.51,0,2.76,0,0,225.66,0,0,4.27,0,211.76
 60-70,0,0.62,0,17.88,0.76,0,219.64,0,7.92,9.84,75.87,6.17,0,0.7,7.74,1.4,361.71,0,0,4.38,72.1,0,4.4,5.14,585,14.4,3.54,1.26,0,2.16,40.16,0,2.23,0,0,114.69,0,0,15.38,0,130.87
 72-82,0,0.68,0,8.3,0,0,223.99,2.65,8.81,5.58,65.54,2.91,0,0,2.61,2.63,329.57,0,3.68,0.49,65.09,2.55,2.9,3.58,378.52,0,8.06,12.1,0,0,25.01,0,8.09,0,0,86.54,2.35,3.04,8.78,6.4,145.22
 84-94,0,2.22,0,17.22,0,0,136.78,0,3.46,0,40.77,8.27,0,0,8.69,5.85,459.46,0,2.07,7.79,44.9,0,0,0.68,228.16,0.69,2.41,3.35,0,0,48.72,0,25.25,0,0,45.98,2.09,2.66,19.42,2.58,72.94
 96-106,0,0.89,1.08,11,0,1.46,90.32,0,0.58,1.79,56.31,18.72,1.32,0.62,4.77,4.95,292.93,2.6,19.46,5.09,30.16,3.5,1.38,2.22,178.62,0.7,5.81,3.56,0,0,52.92,0,25.46,0,0,15.53,0.62,4.65,12.88,6.12,37.51
108-118,0,0,0,12.81,1.94,0,101.69,0.44,0,0,39.46,8.27,0,1.27,3.45,6.67,437.03,1.26,21.86,9.17,33.9,0.59,2.74,2.04,268.73,0.85,14.22,5.23,0,3.28,51.93,0,35.9,0,0,5.67,0.68,0.66,7.64,0,29.67
120,0,0,0,11.82,1.8,1.05,73.24,0,0,0,14.22,6.99,0,0,7.73,1.28,231.02,0,15.81,0,29.59,0,0,8.82,364.19,0,19.86,14.59,0,0,60.77,0,7.96,0,0,17.05,1.37,0,1.78,0,0
