stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.23,64.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.45,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,26.81,0,0,0,0,0,0,0,0,0,0,0,23.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,109.22,0,0,0,0,0,0,0,0,0,0,0,10.87,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.4,0,0,0,0,1.16,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,22.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,1.57,1.24,0,0,16.34,0,0,0,0,0,0,0.79,0,0.74,4.52,0,0,0,0,0
 36-46,0,0,0,0,0.66,0,0,0,0,0,0,0,0,6.39,1.06,0,0,0,0,0,0,33.09,0,0,0,27.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,15.88,0,0.74,0,1.35,0,0,0,0,0,0,0,4.3,0,1649.16,2.87,1.69,0.42,44.2,0,0,0,0,0,0,0,0,0,7.31,0,0,0.43,0,0.99
 60-70,0,0,0,0,182.39,1.15,0,173.11,3.06,5.5,2.46,34.65,6.97,0,0,0,1.74,0,0,2.74,5.94,27168.68,0,2.63,30.14,322.1,1.76,6.65,1.2,0,1.65,6.88,0,0,0,45.45,0,5.03,0.72,0.98,15.32
 72-82,0,0,0,0,280.97,40.48,0.76,1207.48,2.73,7,14.89,118.02,5.18,0,2.73,6.59,3.96,15.05,12.71,11.54,12.43,69312.26,1.7,16.21,25.65,1055.42,3.82,13.48,5.01,0,0.59,41.07,7.58,9.27,0,132.51,0.5,2.65,42.78,12.39,88.43
 84-94,0,0,1.42,2.13,422.91,29.81,0,861.35,2.65,6.17,5.32,55.53,3.18,0,4.82,7.98,7.64,5.26,1.79,7.04,71.23,73282.26,6.92,10.32,15.82,484.34,7.05,7.15,6.57,0,1.75,67.1,10.48,4.49,0,50.27,4.11,16.89,30.9,7.95,19.28
 96-106,0,0,1.43,3.2,347.96,28.54,2.82,893.82,21.78,31.47,22.83,55.27,6.71,0,9.5,61.25,9.06,3.27,5.01,38.81,6.77,35883.6,5.04,9.19,11.42,489.29,4.2,16.8,3.01,0,10.23,118.42,4.21,4.54,0,30.71,3.85,8.06,19.13,22.56,14.35
108-118,0,0,0.8,7.54,113.28,28.86,1.17,396.09,3.32,27.47,1.31,44.16,32.82,0,0.8,9.68,3.51,4.74,7.82,17.26,0.68,23001.31,0.53,22.49,12.46,470.77,5.86,8.51,16.55,0,0,40.62,0,0,0,15.5,2.39,5.09,12.72,0,4.26
120,0,0,0,6.63,280.01,45.88,3.36,186.23,0,3.6,23.51,22.5,30.54,0,1.17,15.19,2.21,0,0,90.38,0,20617.7,1.59,29.66,24.75,315.56,122.81,17.03,2.84,0,0,44.9,0,0,0,4.35,0,0,1.96,0,0
