stage,axial,blastomeres,eye,glial,iridophores,mesenchyme,muscle,neural,paraxial_mesoderm,pronephros,spinal_cord,xanthophores
  3-4,0,60.3,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.31,0,0,0,0,0,0,0,0,0,0
  7-9,7.9,0,0,0,0,0,0,73.26,25.5,0,0,0
 10-12,0,0,0,0,0,0,0,4.22,18.94,0,0,0
 14-21,0,0,0,0,0,0,0.99,6,0,0,0.99,0
 24-34,0,0,0,0,0,0,0,0.74,0,0,0,0
 36-46,0,0,0,2.55,0,0.58,0,1.71,0,2,2.43,0
 48-58,0,0,0,0,0,1.34,0,0.61,0,0,1.57,2.45
 60-70,0,0,9.35,0.64,0,0,0,1.35,0,0,0,0
 72-82,0,0,0,0,0,1.05,0,1.75,0,0,0.95,0
 84-94,0,0,1.18,0,0,0,0,3.89,0,0,0,0
 96-106,0,0,4.25,0,0,0,0,0,0,0,0,0
108-118,0,0,6.52,0,1.25,0.59,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.64,0,0,0,0
