stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,259.58,1434.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.49,0,0,0,0,0,0,0,0,0
  5-6,207.33,2143.83,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,138.01,0,0,0,59.08,0,0,0,0,0,0,0,0,0
  7-9,33.74,98.48,0,256.72,0,0,0,177.96,0,0,0,0,0,194.44,0,0,0,0,0,0,0,0,0,2219.87,104.95,0,813.94,0,12.04,0,0,0,0,0,0,0,0
 10-12,0,32.56,0,56.56,0,16.45,0,46.65,0,0,0,0,0,67.86,0,0,0,0,0,0,0,0,0,718.69,13.9,0,295.74,12.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.08,19.69,0.92,0,0,0,0,0,1.13,0,2.23,0,0,0,0,0,0,7.02,0,8.16,43.53,9.91,0,0.85,1.05,0,5.76,0,0,4.99,13.15,0,0,0
 24-34,0,0,0,0,4.43,4.56,0,12.44,0,0,0,1,2.31,0,0,0,0,0,0,0.75,2.51,0,8.11,86.16,2.59,1.61,0,14.22,0,0,0.71,0,1.26,36.01,0,1.4,2.44
 36-46,0,0,0,0,9.8,2.58,0,0.71,1.18,0,3,1.64,0,0,0,0,0,0,0,5.97,6.52,0,0.83,85.11,1.03,0.66,0,31.55,0,0,1.03,0,0,21.6,0,0,0
 48-58,0,0,0.68,0,4.74,2.99,0,13.79,1.76,0,1.48,4.97,0,0.55,2.37,0,0,0,0,3.8,9.14,3.58,2.82,77.13,0.4,2.83,0,8.49,0,0,0,0.89,0,15.42,0,2.51,0
 60-70,0,0,0,0,18.77,2.1,0,16.76,1.35,0,0,3.2,0,0,0,0.81,0,0,0,1.92,15.61,0,0,22.42,1.76,2.08,0,32.47,0,0,0,0,0,5.42,5.48,0,0
 72-82,0,0,0,0,1.84,5.9,0,17.03,0,1.73,0,0,0,0,0,0,0,0,0,0,5.52,0,0,23.17,1.39,0,0,7.56,0,0,0,0,0,3.98,0,2.85,0
 84-94,0,0,0,0,1,0,0.81,10.7,0,0,0,2.55,0.68,0,0,0,0,0,0,0,2.26,0,0,22.79,2.03,0,0,9.58,0,0,0,0,0,0,1.37,0,0
 96-106,0,0,0,0,3.52,10.54,0.57,7.28,0,0,0,3.11,2.3,0,0,1.5,0.6,0,0,0.56,3.96,0,0,3.76,0,0,0,16.5,0,0,0,0,0,4.18,0,0,0
108-118,0,0,0,0,0,13.71,0,1.91,0,0,0,0,0,0,0.78,0.62,0,0,0,0.43,6.71,5.53,0,15.89,0.94,0,0,3.46,0,0,0,0,0,0.58,0,0,0
120,0,0,0,0,9.44,0,0,3.98,0,0,0,13.25,5.32,0,0,2.87,0,4.85,1.88,0,59.45,0,0,80.72,0,0,0,6.37,0,0,0,0,0,0,0,0,0
