stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.9,1.02,0,2.38,0,0,0,2.57,0,0,3.42,0,0,0,0,3.44,0,0,0,11.82,0,2.01,0,0,3.65,0.85,0,2.02,8.43,0,0,0,0,0
 24-34,0,0.6,0,0.78,0,1.38,0,2.52,0,0,0,0,0,0,0,0.89,0,0,0.72,64.44,0,4.99,0,0,1.6,0.65,0,0,13.58,0,0,0,0,0
 36-46,0,1.07,0,8.96,0,2.25,0,1.58,0,0.99,0,0.79,2.34,0,0,4.97,0,0,0,113.34,0,4.02,4.08,0,17.13,0,1.14,0,17.15,0,0,0,0,0
 48-58,0,0.85,0.56,24.91,0.86,0,0,2.9,0,0,1.27,0,0,0,0,7.03,0,0,0,128.21,6.8,3.63,1.14,0,2.93,0.74,0,0,24.1,0,0,0.46,0,0.54
 60-70,0,0,0,42.43,0,0,0,9.05,0.68,0,7.76,0,0,0,0,7.32,0.58,0,0.94,211.13,0,2.29,0,0,1.76,0,0,0,30.6,0,0,0.73,0,0
 72-82,0,0.59,7.68,40.85,0,0.51,1.2,11.1,0.72,0,1.07,0,0.83,0.49,0,13.92,0,0,2.98,158.67,0.52,8.7,1.76,0.8,7.91,0,1.69,0,16.99,0.94,1.13,1.8,1.4,0
 84-94,0,1.49,24.22,32.5,0,0.55,0,6.28,2.12,0,4.34,0,1.02,0,1.92,20.03,0,0.65,0,134.79,0,8.89,1.69,0,8.97,0,0,0,6.85,0,0,4.04,1.78,0.7
 96-106,0,0,1.76,45.41,0,0,0,4.18,1.18,0,11.41,0,0,1.42,0,19.49,0,0.76,1.33,92.37,0,6.62,2.73,0,12.64,0.57,0,0,4.69,0.62,0,2.26,0.82,1.06
108-118,0,5.97,13.09,45.25,0,1.45,0,5.86,1.59,0,13.56,0,0,2.18,2.15,18.16,1.41,4.74,0,122.36,0,7.54,8.9,0,4.47,3.45,0.43,0,11.63,0.48,0,0.61,6.12,3.76
120,0,20.21,0,28.72,0,4.18,18.66,19.93,3.71,0,13.73,0,0,0,0,16.15,0,0,0,239.08,5.09,15.75,4.24,0,18.66,0,0,0,17.76,0,0,6.37,0,0
