stage,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0,2.47,5.86,0,1.9,0,0,0,0,0,0,6.77,0,30.58,2.99,0,0,2.67,0,3.77,0.85,1.03,11.37,0,0,0
 24-34,0,5.81,1.42,6.71,1.65,2.51,0.82,0,0.86,0,0,0,1.66,0,17.66,0,0,0,0,0,0,0,0,3.06,0,0,0
 36-46,0,0.89,2.28,2.81,0,1.39,0,0,0,0,0,0,1.27,0,6.88,0.66,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.6,0.38,0,0,0,0,0,0,0,0.83,0,12.33,0,0,0,0,0,0,0,0,1.52,0,0,2.73
 60-70,1.23,0,0,7.58,33.23,0.62,0,0,0,0,0,0,0,0,17.4,0,0,0,0,0,0,0,0,1.25,0,0,0
 72-82,20.01,0,0,25.38,58.22,36.45,0,0,0,0,0,0,3.33,0,28.83,0,0,0,0,0,0,0,0,0,0,0.95,0
 84-94,10.67,0,2.72,18.28,27.36,61.74,0,0,0,0,0,0,0,0.64,18.17,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,3.3,0,1.66,45.74,97.8,117.69,0,0.66,0,0,1.32,5.65,2.7,0,57.65,0.64,1.9,1.16,0,4.38,0,0,0,0,0,0,0
108-118,19.01,0,0,20.9,42.17,173.29,0,0,0,0.43,0,0.86,3.27,0,30.71,0,0,0,0,1.05,0,0,0,0,0.68,0,0
120,26.73,0,0,29.53,67.13,294.08,0,1.5,0,0,0,0,4.79,0,43.28,0,0,0,0,0,0,0,0,7.65,0,0,0
