stage,blastomeres,neural,olfactory,paraxial_mesoderm
  5-6,25.1,0,0,0
  7-9,0,15.07,0,5.26
 10-12,0,7.88,0,3.34
 48-58,0,0,1.12,0
 72-82,0,0,1.49,0
 84-94,0,0,0.65,0
