stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,mucous,neural,pronephros,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.05,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.98,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.96,0,0,0,0,0,21.63,0,0,0,0
 14-21,0,0,1.37,0,0,6.11,0,0,0,0,0,0,0,0
 24-34,0,0,0.66,0.85,0,18.34,0,0,0,1.36,0,0,0,0
 36-46,0,0,0,0,0,37.51,0,0,0,0.64,0,0,0,0
 48-58,0,0,0,1.1,0,34.58,0,0,0.97,1.31,0,3.26,0,1.86
 60-70,0,0,0,1.79,0.59,98.1,0,0,0,1.31,0.97,2.61,0,0
 72-82,0,0.59,0.51,4.5,0,75.52,0,0,0,0,0,5.34,0,0
 84-94,0,0,0,2.5,0,107.83,0,5.98,0,8,0,2.19,0,0
 96-106,0,0,5.09,15.7,0,126.67,0.86,1.63,0,3.64,1.66,0.81,0.61,0
108-118,0,17.93,1.27,0,0,126.02,0,1.67,0,12.29,5.11,2.01,0,0
120,0,0,1.3,0,0,224.29,0,0,0,9.03,7.63,0,0,0
