stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.85,491.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.09,0,0,0,0,0,0,0,0,0
  5-6,36.47,436.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,8.94,0,5.66,0,0,0,9.85,0,0,0,0,6.64,0,0,0,0,0,0,0,0,30.34,11.67,0,7.14,0,0,6.94,0,0,0,0,0,0,0,0
 10-12,0,40.9,0,26.98,0,5.46,0,10.49,0,0,0,0,6.11,0,0,0,0,0,0,0,0,206.87,46.44,0,22.39,0,0,11.47,0,22.71,0,0,0,0,0,0
 14-21,0,0,0,0,5.23,1.23,0,20,0,0,0,1.11,1.02,0,0,1.59,0,4.63,0,0,3.55,45.65,0.87,0,0,0,0,0,0.91,0,8.02,13.6,0,0,0,0
 24-34,0,0,0,0,2.45,0,0,10.67,0,0,0,0,0,0,0,1.57,0,5.09,0,0,3.32,26.82,0,0,0,0,0.71,0,0.93,9.32,0.69,5.04,0,1.33,0,0
 36-46,0,0,0,0,0.57,0,0,9.47,0,0,2.17,0,0,0,0,0,0,7.25,0,0,0.72,66.53,0,3.65,0,0,0,0,0,13.03,0,4.55,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,15.53,0,0,0.91,0,0,0.57,6.55,0,0,9.2,0,0,0,60.89,0,0.39,0,0.56,0,0,0,0.47,0,9.88,0,0,0,0
 60-70,0,0,0,0,0,0,0,430.83,0,0,3.33,0,0,2.33,0,0,0,13.72,0,0.8,0,110.94,0,2.76,0,0,0,0,0,0.59,0,3.63,0,0,9.29,0
 72-82,0,0,0,0,0.54,0,0,1162.41,0,0,8.16,0.86,0,0,0.57,0,0,11.48,0,2.05,1.93,185.25,0,3.59,0,0,2.69,0,0,1.09,0,5.65,0.52,2.23,0,0
 84-94,0,0,0,0,0.71,0.83,0,950.72,0,3.19,10.69,0.66,0,1.38,0,0,0,19.4,2.13,0,0,158.28,0,10.66,0,0,3.55,0,0,1.32,0,6.6,2.21,0,4.56,0
 96-106,0,0,0,0,2.49,0,0,1181.16,0.89,0,22.96,0,0,1.22,0,0,0,19.65,0,0,0,106.38,0,4.15,0,0.97,1.68,0,0,0.58,0,4.87,0,0,0,0.75
108-118,0,0,0.57,0,0.87,0.85,0.64,996.18,0.57,3.26,15.76,0,0,1.07,0.48,4.77,2.1,16.82,0,0,3.07,171.72,0,15.01,0,0,1.28,0,0,0.96,0,6.72,0,3.02,0,0
120,0,0,0,0,2.18,0,1.58,638.22,0,0,24.32,0,0,1.81,0,0,0,43.7,0,0,3,372.69,0,12.45,0,0,0,0,0,0,0,20.48,0,0,0,0
