stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,26.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.45,63.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.31,4.5,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0,0,29.45,6.86,0,0,25.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.7,0,0,0,37.12,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.91,15.74,4.78,9.6,0,0,0,2.49,0.82,0,0,0,0,0,0,0,4.4,0,8.03,111.96,0,0,3.22,3.56,0,19.85,0.82,0,5.35,31.17,0,0,0,0
 24-34,0,0,0,1.59,0.62,9.88,0,0,0,0.67,0,0,3.23,0,0,0,0,0,13.02,0,6.97,145.27,0.99,1.27,3.39,0,7.58,0,0,2.48,1.25,21.54,0,0,1.68,0
 36-46,0,0,0,4.42,0,12.39,0,0,0.57,4.49,0,0,0,0,0,0,0,0,23.52,0,6.84,113.83,1.69,0,0.65,0,21.31,0,0.6,0,0,25.08,0,0,8.4,0
 48-58,0,0,0,2.02,0,28.63,0,0,0.48,4.62,2.33,0,0.47,0.57,0,0,0.51,0,11.35,0,6.59,66.32,4.37,0.37,0,0,1.18,0,1.07,0,0,14.44,0,0,3.69,0
 60-70,0,0,0,2.84,0,28.97,0,2.01,0,24,2.28,0,0,0,0,4.25,0,0,19.25,0,0,100.68,3.71,0,0,0,6.25,0,0,1.46,0,10.75,0,0,1.16,0
 72-82,0,0,0,0,0,19.76,0,0,0,7.31,0.7,0,1.06,0,2.33,0,0.62,0,30.66,0,3.31,43.32,1.43,1.28,1.28,0,1.06,0,0.5,0,0,2.73,0,0.51,2.88,0.75
 84-94,0,0,0,2.51,0,15.92,0,0.79,0,7.14,4.34,0,0,0,0.8,0.68,0,0,15.4,1.36,0,19.09,0,0,1.61,0,4.82,0,0,0,0,1.52,0.6,0,0,0
 96-106,0,0,0,0,0,4.92,0,0.56,0,5.23,0.61,0,0,0,0,0.59,0,0,11.82,0.67,4.14,19.6,0,0.85,0,0,7.82,0,1.4,0,0,0,0.83,0,2.84,0
108-118,0,0,0,6.1,0.53,16.11,0.47,0,0,6.24,0.96,0,0,2.22,0,0,0,1.88,20.02,2.79,1.32,34.07,0,0,1.9,0,1.53,0,0.97,0,0,1.47,0,2.07,9.89,0
120,0,0,0,10.03,0,26,0,1.75,0,22.38,2.92,0,0,0,0,0,0,1.06,8.76,1.26,3.83,46.55,0,0,6.6,0,5.85,0,0,0,0,0,6.72,0,1.1,0
