stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,30.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.68,183.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.39,0,0,0,18.46,8.52,0,0,0,0,0,0,0,0
  7-9,4.3,5.92,0,13.88,0,0,37.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.23,24.18,0,0,89.5,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.48,0,0,15.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.54,6.19,0,0,43.53,0,0,3.51,0,0,0,0,0,0
 14-21,0,0,0,0,5.72,0,0,0,1.75,0,2.29,0,0,0,0,0,0,1.02,0,0,0,32.05,0,0,0,3.27,3.78,4.08,0,3.76,4.24,0,0,0,0
 24-34,0,0,0,0,0,0.7,5.94,0,0,0,0,0,0,0,0,0,0,4,4.95,0,0,33.67,0,1.12,0.71,0,0,0,0,0,4.53,0,1.81,0,0
 36-46,0,0,0,0,2.14,0,15.05,0,0.64,0,0,0,0,0,0,0,0,6.61,0.59,0,3.85,39.22,0,1.01,0,0,3.39,0,0,0,6.56,0,0,0,0
 48-58,0,0,0,0,0,0,23.38,0,2.01,0,0,0,0,0,0,0,0,4.42,0.41,0,1.41,56.52,0,1.58,0,0,6.63,0,0.77,0,9.87,0,0,0,3.72
 60-70,0,0,0,0,0,0,25.54,0,21.63,0,0,0,0,2.09,0,0,0,7.74,4.22,0,0,70.3,0.66,1.17,0,0,1.08,0,0,0,6.55,0,0,0,0
 72-82,0,0,0.93,0,0.54,0.6,56.04,2.04,4.64,0,0,0.54,0,0,0.84,6.13,0,11.3,1.52,2.28,0.77,48.87,0,1.28,4.03,0,0,0,7.39,0,2.83,0,0,3.81,2.8
 84-94,0,0,0,0,4.92,0,13.12,0,7.42,0,0,0.7,1.95,0,0,0,0,7.22,0,0,0,38.27,0,1.87,0,0,3.93,0,0,0,2.61,2.05,1.8,0,0
 96-106,0,0,0,0,1.82,7.75,39.03,0,2.92,2.66,0,0,0,0,0,0,0,16.34,0,0,0,55.88,0,1.84,0.66,0,1.88,0,0,0,10.99,0,0,1.97,0
108-118,0,0,0,0,0,3.41,23.45,0,3.61,0,0,0.64,0,0,0,0,0.78,7.85,0,0,0.46,59.94,0.69,2.23,0.68,0,1.95,0,0.47,0,3.88,0,2.52,0,0
120,0,0,3.52,0,14.24,0,54.6,0,6.37,1.33,0,7.51,0,0,0,0,0,35.69,0,0,0,39.92,0,2.49,0,0,3.37,0,0,0,0,0,0,0,0
