stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0
 14-21,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,25.43,0,0,0,0,2.04,0,0,0,0.67,0,0,0,0,0
 48-58,0,0,0,0,0,8.34,0,0,0,0,0,0,2.68,0,5.83,0,1.3,0,0,0
 60-70,0,0,0,4.09,0,15.33,0,0,0,0,0,0,0,0,10.56,0,0,0,0,1.05
 72-82,0.81,0,0,0,0.77,22.58,0,0,1.15,0,0,0,7.4,0,7.02,0,0,0,0,0.54
 84-94,1.06,0,0,0,0.69,28.7,0,0,0,0,0,0,3.56,1.41,30.55,0,0,0,0,0
 96-106,6.37,0,0.71,0,0,33.36,0,0,0,0.69,0,0,10.17,3.54,84.48,0,0,0,0.83,1.95
108-118,6.27,0.77,0,0,2.8,33.97,0,0.55,4.27,0,0,1.14,0,1.95,67.86,0,0,0,0,0.5
120,20.02,9.78,1.05,0,0,73.32,3.87,0,0,1.1,0,1.15,0,1.48,98.21,0,0,14.31,0,1.72
