stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.07,31.61,727.08,7.15,33.74,0,0,0,9.62,17.13,3.23,1.45,0,1.48,0,0,1.84,0.85,110.49,0,0,93.98,3063.92,5.35,2.46,1.54,0,2.54,24.94,0,3.16,207.4,587.62,0,0,1.07,0,0
 24-34,0,9.03,256.19,0.86,78.48,0,7.96,0,36.16,3.42,0,3.4,0,0.59,2.16,2.79,3.68,0,220.15,2.41,0.81,59.18,4176.21,11.77,2.85,4.78,0,0.64,0,0,0,0.72,865.02,0,0,5.75,0,0
 36-46,0,0.78,77.08,0,50.9,0,0.65,0,199.87,0,0,4.28,0,0,0,0.57,1.46,0,463.47,0.65,17.51,34,2163.76,3.06,0.6,1.34,3.65,2.06,0,0,0,0,679.45,0,0,3.02,0,10.24
 48-58,0,0,35.52,1.56,93.42,0,7.81,0.44,325.36,0,0,2.25,0,0.37,0,0.8,0,0,749.73,0,18.09,17.15,689.71,11.28,0.44,1.7,1.32,4.96,0,0.95,0,0,336.02,0,0.64,0.42,0.78,5.83
 60-70,0,0,42.51,0.96,118.83,0,5.25,0,539.27,0,0,0.59,1.6,1.33,0,0.76,0,0,1434.65,0,1.02,12.94,410.81,0,0.7,0.83,0,0,0,0,0,0,141.11,0,8.44,1.54,0,8.56
 72-82,0.57,0,23,0,85.46,1.33,1.06,0.94,499.03,0,0,0,0,0,1.65,1.49,0,0,1631.94,2.18,9.2,8.39,277.17,0.53,2.99,0.97,1.12,4.23,0,0.64,0,0,41.44,2.32,12.04,0,7.51,0
 84-94,0,0,39.09,0,143.13,0,5.02,2.12,467.56,0,0,0.78,1.39,0,0,1.47,0,0,1303.87,0,12.36,16.24,202.97,0,0,2.27,0,3.71,0,2.8,0,0,47.95,0,6.54,0,18.17,0
 96-106,0,0,25.7,0,107.99,0.87,0,2.75,481.05,2.93,0,0,3.19,1.97,3.46,1.46,0,0,715.38,0,2.04,1.63,146.61,0,0,2.27,3.05,2.29,0,0,0,0,32.52,1.68,4.73,4.52,4.31,0
108-118,0.62,0,55.31,0,87.13,0,5.83,0.53,458.58,2.41,0,0,1.43,0.61,0,2.1,3.35,0,685.54,0,3.15,1.44,207.95,0.45,0,1.06,0,4.55,0,0,0,0,14.01,0.89,5.19,0.52,1.8,3.32
120,0,0,45.1,0,120.82,0,5.32,0,415.24,0,0,4.54,0,0,0,7.76,1.42,0,502.83,0,0,0,198.38,0,0,1.43,5.9,5.54,0,0,0,0,6.59,0,4.49,0,13.12,0
