stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,5.07,7.38,0.93,0,0,0,0.84,0,0,0,0,0,0,0,0,4.85,0,0,2.7,49.77,1.64,0,1.27,0,2.06,7.76,0,0,10.55,22.78,0,0,5.09,0,0
 24-34,0,0.8,6.08,0.62,4.27,0,0,0,0.85,0.68,0,2.56,0,0,0,1.56,0,91.58,0.61,0,0.96,610.72,1.32,1.25,0.64,0,1.83,0,0.88,0,0,24.69,0,0,95.63,0,10.55
 36-46,0,0,3.15,0,22.36,5.14,0,1.79,19.58,0,0,0,0,0,0,0,0,319.25,0,0,3.9,1478.98,0,1.35,1.13,0,9.54,0,0.58,0,0,25.24,0,0,41.57,0,0
 48-58,0,0,9.31,0,81.84,0,0.49,9.98,10.14,0,0,5.39,0,0,0,0,0.66,635.51,0.68,0.46,15.73,1486.86,0,2.82,0,0,1.4,0,0,2.16,0,29.6,0,0,64.63,0,0.63
 60-70,2.42,0,12.13,1.3,83.83,0,0.86,9.12,32.5,1.59,0,0,1.38,0.6,2.9,0,0,940.44,0,0,4.02,1197.94,0,0,0.69,0.82,10.22,0,0,0,0,15.28,0,0,68.54,0.81,1.56
 72-82,0,0,40.67,1.88,143.45,3.52,3.46,5.46,7.54,1.61,2.57,4.59,2.05,0,0.64,0,0,1229.93,0,3.06,13.99,1268.33,0,2.2,0,0,3.5,0,0,0,0,2.76,0,5.78,159.17,1.2,0
 84-94,0,0.8,55.37,0,122.06,0,0,0.86,29.71,0,0,0,5.79,4.21,0,0.8,0,1050.96,0,10.37,3.84,684.95,0,2.83,0,0,17.94,0,1.27,0,0,4.43,0,2.72,143.8,4.12,0
 96-106,0,0,37.05,15.83,82.65,0,0,0,19.57,3.09,0,0,2.37,1.17,13.8,0,0,879.94,0,5.21,1.35,575.14,0,0.57,0.72,0.79,0,0,0,0,0,3.58,0,1.64,137.74,4.44,2.61
108-118,0,0,61.37,2.35,74.33,0.9,1.11,0,17.55,2.56,0,0,4.22,3.68,3.41,0,3.13,959.89,0,8.71,5.1,932.99,0,0,1.8,0,7.25,0,0.7,0,0,2.32,2.37,0,153.07,0,0
120,0,0,70.87,1.8,68.68,0,2.96,0,2.95,0,0,0,0,0,0,3.22,0,869.66,0,0,3.92,1208.24,0,0,0,0,2.68,0,0,0,0,20.93,2.31,6.25,161.4,0,2.59
