stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,941.88,3071.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7,0,0,0,0,0,0
  5-6,4303.09,7151.95,65.17,0,0,0,0,425.41,0,0,0,0,0,758.11,193.78,360.34,75.85,0,0,0,0,0,0
  7-9,3774.41,25.58,158.84,0,0,151.16,0,4508.72,0,0,0,0,0,1122.45,1676.82,1850.78,4.34,5.74,0,0,0,0,0
 10-12,25.31,25.36,43.65,0,10.76,395.31,0,356.6,0,0,0,0,0,754.45,223.56,186.68,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,0,0,0,0,8.98,0,0,6.38,6.9,32.86,5.92,4.02,0,0,5.41,0.92,2.78,0,0
 24-34,0,0,0,0,0,1.21,0,0,0.6,0,0,0.72,3.71,43.54,0,0,0,0,0,0,0.62,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,40.48,0,0,2.06,0,0,0,2.63,0,0
 48-58,0,0,0,0,0,1.56,0,0,0,0,0,0.74,0,38.42,0,0,0,0,0,0,0.9,0,0
 60-70,0,0,0,0.91,0,2.34,12.83,0,0,2.23,0,0,0,57.49,0,0,0,0,0,0,1.23,0,0.57
 72-82,0,0,0,0,0.52,15.62,0,0,0,0.58,0,2.47,0,77.49,0,0,0,0,0,0,1.56,0,0
 84-94,0,0,0,0,0,10.5,2.07,0,0,0,1.42,3.93,0,41.29,0,0,0,0,0,0,3.81,0,1.18
 96-106,0,0,0,0,0,2.71,1.57,0,0,1.8,0,0,0,49.36,0,0,1.88,0,0,0,0,1.13,0
108-118,0,0,0,0,0,6.64,0,0,0,1.14,0,0.71,0,67.3,0,0,0.78,0,0,0,4.44,0,0
120,0,0,0,0,0,5.48,0,0,0,0,0,0,0,124.97,0,0,0,0,0,0,8.31,0,0
