stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm
  3-4,17.18,118.87,0,0,0,0,0,0
  5-6,19.56,217.61,0,0,0,0,0,0
  7-9,0,6.22,14.21,4,4.1,96.44,11.38,49.85
 10-12,0,0,0,6.6,0,69.88,0,53.86
