stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.11,0,142.32,151.65,0,17.09,0,0,0,9.16,0,0,0,0,0,5.38,0,0,648.63,0,0,649.23,1260.17,13.74,79.35,144.82,1.03,0,0,9.45,0,0,36.06,478.56,0,0,54.87,0,0
 24-34,0,1.05,4.91,57.9,57.03,0,94.7,0,3.17,6.46,3.49,0,4.48,0,0,2.26,48.23,3.58,0,1523.21,0,0.81,448.01,8091.52,0,163.82,156.37,0,0,6.75,3.03,0,0.65,9.53,1332.39,0,0,429.14,0,0
 36-46,0,0,0,11.11,6.94,0,634.38,6.88,0,14.77,85.28,0,9.55,1.19,0,0.94,14.09,0,11.57,1262.83,0,1.06,331.51,14578.68,0.68,131.89,94.7,0,1.69,15.33,7.32,0.82,2.17,0,1846.59,0,1.23,214.59,0,0
 48-58,0.78,0,0,62.79,17.5,0,1597.61,4.16,8.28,18.49,281.99,2.96,11.72,2.04,0,4.22,18.89,2.75,4.19,1432.17,0,9.99,242.79,13765.49,3.53,85.63,73.02,0,0.91,10.44,0,0,3.11,0,1725.11,0,3.84,262.87,0,20.24
 60-70,0.81,1.36,0,38.63,9.29,0,2563.99,43.07,18.36,8.4,146.35,0.58,5.34,10.92,0,19.38,5.83,0,0,2010.19,0,12.34,235.12,12174.36,5.48,77.36,47.18,0,41.5,30.84,0,0,1.91,0,1450.22,0,13.85,161.2,0.73,21.26
 72-82,0,0,0,34.21,0.56,0,2640.01,38.06,1.19,28.75,93.85,5.01,18.3,4.3,2.06,0,10.58,0,9.5,2184.41,0,42.43,232.63,7256.12,0,104.26,58.5,0,55.52,6.46,0,0,0,0,717.77,0,55.15,292.33,9.21,34.63
 84-94,0,1.15,0,58.35,14.2,0,1904.56,39.67,0.92,27.94,119.64,1.41,36.41,12.9,0.76,4.61,11.39,0.63,0.58,1879.35,0,60,166.37,4980.38,3.03,79.11,48.58,0,41.34,4.67,0,4.95,0.68,0,564.9,1.5,19.82,269.43,18.33,3.99
 96-106,1.12,0,0,50.02,47.96,0,1664.37,55.52,3.87,25.63,60.12,2.64,40.36,3.01,0,0,33.31,0.7,0,1509.62,0.71,46.36,125.17,3569.58,0,101.43,40.14,0,80.71,15.06,0,0.68,0,0,171.29,6.53,20.9,239.71,2.43,9.19
108-118,0,0,0,55.58,5.53,3.64,1484.02,40.47,11.59,18.69,94.57,1.96,34.07,7.72,0,4.85,17.92,3.15,1.67,1789.3,0,47.72,117.31,4464.4,0,81.32,50.72,0,147.05,3.67,0,5.69,0,0,167.68,0.67,17.78,241.67,0,2.22
120,1.12,0,0,53.93,21.53,4.26,1968.34,58.78,0,13.27,253.02,3.14,48.73,5.55,6.21,0,28.49,7.86,0,2584.6,0,97.93,172.31,6751.61,2.28,106.03,104.68,0,130.97,7.97,0,0,0,0,222.92,1.81,32.55,396.03,10.35,0
