stage,blastomeres,epidermis,eye,fin_epithelia,ionocyte,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.87,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,18.14,0,4.41,0,0,0,0,0
 14-21,0,0,0,0,0,1.27,0,4.11,1.23,0,0,1.52,0,0,0
 24-34,0,0,2.14,0,0,0,1.32,5.07,0,0,0,0.86,0,0.71,0
 36-46,0,0,1.25,11.74,0,0,0,2.13,0,0,0,2.37,0,0,0
 48-58,0,0,0,0,0,2.02,0,1.53,0,0,0,1.12,0,0,0
 60-70,0,0,2.44,0,0,0,0,6.9,0,0,0,0,0,0,0
 72-82,0,0,16.26,0,0.52,0,1.51,13.8,0,0,0,0,0.52,0,1.22
 84-94,0,0.6,0.6,0,0,0,0,0.93,0,0,0,0,0,0,0
 96-106,0,0,1.49,0,0,1.34,0,0,0,0,0,1.54,0,2.98,0
108-118,0,0,0,0,0,6.87,0,8.4,0,0,0.42,0,0,0,0
120,0,1.39,19.88,0,0,0,0,19.13,0,0,0,0,0,0,0
