stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.29,261.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0
  5-6,6.31,41.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.09,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93,0,0,0,5.57,0,0,0,0,0,0,0,0
 10-12,0,4.98,0,6.41,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0,59.99,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,26.61,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0.84,0,0,0,2.44,0,0,0,0,0
 24-34,0,0,0,0,23.28,0,0,3.35,2.03,0,0,0,0,0,0,1.75,0,0,0,0,1.5,0,0,0,25.28,0,0,0.64,0,0,0.98,3.47,0,0,0,0,0
 36-46,0,0,0,0,8.01,0,0,7.24,2.41,0,0.65,0.83,0,0,0,0,0,0,0,0,0,0,0,1.8,24.75,0,0,0,0,0,0,2.71,0,0,0,0,2.83
 48-58,0,0,0,0,8.99,0,0,10.45,6.37,0,0,0,0,0.58,0,0,0,0,0,0,4.26,0,0,0,43.33,0,0,0,0,0,0,13.59,0,0,0.48,0,1.32
 60-70,0,0,0,0,10.04,0,0,27.53,11.82,0,12.91,1.41,0,0,0,0,0.78,0,0,0,2.44,0,0,0,62.81,0,0,3.57,0,0,0,3.6,0,1.5,1.11,0,0
 72-82,0,0,1.27,0,17.11,1.84,1.04,35.58,2.53,0,2.37,0,0,0,0,0,5.9,0,0,0.98,15.79,0,0,0,82.01,0,5.54,0,0,0,0,9.2,6.25,0,3.58,0,0
 84-94,0,0,0,1.01,37.51,0,0,79.19,15.09,0,4.64,2.08,0,2.01,0,0.6,3.91,1.7,0.83,0,3.42,0,0,0,107.67,0,0,4,0,0.59,1.79,4.24,22.93,0,9.9,0,0
 96-106,0,0,0,0,58.45,4.4,0,82.49,18.32,0,8.23,4.7,0,0,0.59,0,1.65,0,4.34,2.99,29.21,0,0,0,95.29,0,0,8.44,0,6.64,0.61,1.95,35.82,0,10.06,0,0
108-118,0,0,0,0,69.27,0,0,105.53,22.81,0,18.98,5.17,0,0,1.14,0.84,1.84,0,3.58,3.11,18.19,0,0,0,108.89,0.48,1.76,2.07,0,9.38,1.21,2.04,41.55,0,6.61,0,0
120,0,0,0,0,100.64,0,0,47.57,28.55,3.06,20.72,8.11,0,0,1.25,0,0,0,0,0,0,1.49,3.46,0,159.7,0,1.09,3.66,0,0,0,0,16.28,0,0,5.05,0
