stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,34.57,161.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590.69,0,0,0,0,0,0,0,0
  5-6,0,233.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.57,0,0,0,3035.76,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.43,14.33,0,0,49.4,435.13,5.15,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.84,0,0,0,0,0,0,0,0,0,0,79.88,33.88,0,0,0,71.24,0,4.95,0,0,0,0,0,0
 14-21,0,0,0,5.04,0,1.11,0,0,0,0,0,7.74,0,0,1.01,0,3.73,5.8,0,0,0.87,150.09,0,0,0,0.88,1.32,0,0,0
 24-34,0,0,0,1.66,0,1.06,0,0,1.55,0.81,0,10.2,0,0,0,6.2,22.26,1.16,2.61,0,0,391.51,0,0,0,0,1.43,0,0.84,0
 36-46,0,0,0,0,0,5.63,2.63,0,0,0,0,9.73,0,0,0.93,3.65,16.07,0,0,0,0,693.31,0,0,0,0,1.83,0,0.78,0
 48-58,0,0,0,9.05,0,19.67,0.8,1.34,0.51,0,0,2.29,0.51,0,1.14,1.94,27.6,0,1.6,0,0,342.15,0,0,3.08,0,1.52,0,0,0
 60-70,0,0,0,4.08,0,37.98,5.02,0,0,0,0,1.4,0,0,3.22,1.85,10.95,0,0,0,0,410.84,0,0,0,0,2.67,0,0,8.92
 72-82,0,0,0,7.9,0,19.79,1.16,1.07,0.61,0,0,0.66,0,0,2.7,2,15.87,0,0,0,0,220.47,0,0,0,0,3.03,0,0,0
 84-94,0,0,0,22.05,0,16.17,4.29,0.58,2.47,0,0,2.3,0,0,10.17,5.45,6.96,0,0,0,0,507.7,0,0,0,0,0,1.14,2.92,0
 96-106,0,0,2.08,38.43,2.74,12.66,1.95,1.26,2.17,0,0.58,2.02,0,0,3.34,3.61,17.07,0,0,2.73,0,361.24,0,0,0,0,0,5.55,0,0
108-118,0,0,0,38.5,0,43.47,5.31,1.64,7.19,0,0,4.49,0,10.07,3.47,5.34,9.58,0,0,0,0,430,0,0,0,0,2.77,0.51,0,0
120,0,0,0,36.16,0,21.18,2.96,0,9.78,0,0,1.26,0,0,0,0,29.6,0,0,0,0,364.53,0,0,0,0,0,4.72,0,0
