stage,blastomeres,epidermis,eye,glial,lateral_line,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,29.74,0,0,0,0
  7-9,5.38,0,0,0,0,29.64,8.75,0,0,0,0,0
 10-12,0,0,0,0,0,7.02,16.1,0,4.61,11.65,0,0
 14-21,0,1.92,0,0,0,0,0,0,3.14,0,0.84,0
 24-34,0,0,0,0,0,3.79,0,0,0,0,0.61,0
 36-46,0,0,0,1.57,0,6.94,0,0,0,0,0.88,0
 48-58,0,0,0.39,0,0,1.17,0,0,0,0,0,0
 60-70,0,0,3.37,2.12,0,2.39,0,0,0,0,1.15,0
 72-82,0,0,0,0.52,0,12.82,0,0,0,0,0,0
 84-94,0,0,2.18,2.09,0,0,0,0,0,0,0,0
 96-106,0,0,0,9.79,2.1,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.59,0,0,0,0,0,0
120,0,0,0,3.06,0,0,0,0,0,0,0,9.56
