stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,53.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,97.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.08,0,0,0,0,8.5,0,0,0,0,0,0,0,55.54,9.93,0,0,27.83,0,0,0,0,0,0,0
 10-12,0,10.4,30.63,0,0,8.97,0,0,0,0,0,0,0,170.04,20.76,0,0,67.07,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.95,0,0,0,0,1.46,0,2.23,15.94,0,0,0,0,0,2.39,4.02,10.94,0,0,2.62
 24-34,0,0,0,1.22,0,3.37,0,0,1.29,2.59,0.92,0,0.62,58.05,0,0,0.98,0,0,0,1.05,2.51,0,0,6.09
 36-46,0,0,0,0,0.79,6.94,0,1.47,0,15.69,7.78,0,0,25.57,0,0,0,0,0,0,0,1.33,5.7,0,6.28
 48-58,0,0,0,1.16,0,12.39,0.5,4.58,17.19,5.23,4.8,0,0,18.36,0,0,0,0,0,0,0,1.22,0,6,5.68
 60-70,0,0,0,0,0,0,0,1.72,6.9,6.05,6.02,0,0,23.21,0,0,0,0,0,0,0,1.39,0,0,6.14
 72-82,0,0,0,0,0,0.78,0,0.83,0,0.57,11.52,0,0,23.34,0,0,0,0,0,0,0,1.55,0,0,0.63
 84-94,0,0,0,0,0,6.07,0,0,5.4,1.82,7.17,0,0,10.36,0,0,0,0,0,0,0,0,1.48,0,2.43
 96-106,0,0,0,0,0,0,0,4.57,0,0,5.13,0,0,13.78,0,0,0,0,3.52,0,0,1.02,0,0,2.66
108-118,0,0,0,0,0,6.59,0,2.12,3.09,0.51,8.52,0,0,14.76,0,0,0,0,0,0,0,2.45,0,0,3.13
120,0,0,0,0,0,0,0,0,1.74,0,50.68,9.27,0,42.48,0,3.39,0,0,0,0,0,0,0,0,0
