stage,epidermis,eye,glial,iridophores,mesenchyme,neural,notochord,olfactory,periderm,slow_muscle,spinal_cord,vasculature
 24-34,0,1.31,0,0,0,2.61,0,0,0,0,1.08,0
 36-46,0,1.48,0,0,0.94,1.32,0,0,0,0,0,0
 48-58,0,1.3,0,0,0,4.36,0,3.66,0,0,0.82,0
 60-70,0,0,1.75,0,1.3,2.36,2.9,0,0,0,0,0
 72-82,0,0,0,0,0,3.64,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0.63,0,0
 96-106,0,0,0,1.03,0,2.66,0,2.27,1.22,0,0,0
108-118,0,0.63,0.99,0,1.23,0,0,0,0,0,0,0
120,1.46,0,0,0,4.1,13.07,0,0,0,0,0,2.19
