stage,epidermis,eye,glial,iridophores,mesenchyme,muscle,neural,notochord,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,2.51,0,1.8,0,0,0
 24-34,0,0,0,0,0,1.25,2.65,0,0,1.69,1.44,0
 36-46,0.88,0.88,0,0,1.81,2.14,5.74,0,0,0,0,0
 48-58,0,1.66,0.82,4.16,3.24,0,9.73,0,0,0,0.65,5.57
 60-70,0,7.57,0,0,0.77,0,1.03,0.62,0,0,0,0
 72-82,0,0,0,0,0.7,0,11.13,0,0,0,0,0
 84-94,0,0,0,0.68,0.64,0,1.52,0,0,1.86,0,0
 96-106,0,8.89,2.76,1.98,0.7,0,3.01,0,0,0,0,0
108-118,0,5.17,0,0,0,0,3.29,0,0,0,0,0
120,0,0,0,0,0,0,17.33,0,0,0,0,0
