stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13.85,3.82,0,0,0,0,1.33,0,0,0,0,0,6.9,0,0,3.96,8.48,19.64,0,0,0,0,0,0.83,0,0,4.46,1.2,0,0,5.94,0
 24-34,0,0,0,0,0,0,0,0,4.24,0,0,6.67,0,0,0,0,34.96,0,0,27.53,12.87,3.56,38.09,0,0,0,0,0,0,2.21,5.97,4.03,0,0,23.61,0
 36-46,0,0,0,9.69,1.32,2.96,1.42,1.05,7.28,2.79,0,5.4,0,1.36,0,0,75.85,0,1.06,31.54,11.88,6.64,29.82,0,0,0,0,0,0,7.69,0,1.6,0,0,12.53,0
 48-58,0,0,0,0.48,0,10.71,0,4.81,6.9,6.73,0,11.17,0.54,0,0,0.39,190.04,0,0,19.35,76.29,6.98,21.3,0,0,0.4,2.01,0,0,3.67,0,4.08,0,0,11.23,0
 60-70,0,0,0,0.99,0,9.28,0,0,7.41,18.96,0,13.17,0,0,0,0,368.2,0,4.75,20.15,93.48,11.07,10.07,0,0,0,0,0,0,3.5,0,3.16,0,0.9,43.69,0.73
 72-82,0,0,0,5.54,1.2,31.34,0,0,11.42,23.65,1.1,17.04,0.63,0.49,0,0,449.2,0,2.18,13.02,47.25,0,17.04,0.97,0,0,0,0,0.53,6.3,0,0.99,0,1.46,72.04,4.06
 84-94,0,0,0,8.34,6.99,31.19,0,0,14.5,8.71,0,22.11,0,0,0,0,425.8,0,1.93,14.28,38.52,2.69,17.05,0,0,0,1.53,0,0,1.5,0,6.68,0.61,1.76,68.02,4.51
 96-106,1.12,0,1.03,1.51,0,17.81,0.62,1.92,4.72,19.34,0,31.2,0,0,0.63,0.69,364.28,5.46,3.21,24.39,66.38,3.27,20.77,0.85,0,10.24,4.4,0,0.6,0.57,0,3.55,0,2.11,69.62,5.18
108-118,0,0,0,0.49,2.49,11.13,2.22,0.52,12.23,16.65,0,13.64,0.41,0,0,0,366.7,0,6.33,5.16,38.69,4.82,25.26,0,0,3.92,1.22,0,0,0.53,0,0,4.68,0.8,45.97,0
120,0,0,0,1.69,0,47.79,2.44,0,24.53,14.93,0,23.11,0,0,0,0,378.35,3.22,0,0,87.71,2.06,11.5,0,0,8.63,1.85,0,0,0,0,0,5.48,7.72,52.68,1.05
