stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.11,27.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,162.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.27,0,0,3.54,0,0,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.84,8.57,0,0,13.93,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.35,0,8.32,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.17,0,0,0,16.66,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.48,0,2.18,1.48,0,12.61,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,2.03,172.44,0,5.31,0,0,0,1.51,1.46,1.67,0,0,125.34,0,0,0,0
 24-34,0,0,0.8,1.54,5.05,0.81,0,13.54,0,0,0,5.28,0,0,0,0,0.66,0,0,2.3,0,0,0,673.58,0,4.27,1.16,0,0,1.02,0,0,0,0.69,152.98,0,0,2.68,0
 36-46,0,0,0,0,2.99,0,0,40.77,0,0,0,25.59,0,0.73,0,0,8.31,0,0,10.56,0,0,4.79,1852.98,1.38,9.1,4.08,0,0,10.63,0,0,0,0,427.66,0,0,3.52,0
 48-58,0,0,0,0,6.89,0,0,180.81,0,4.65,0,58.82,0,2.17,0.79,3.42,9.27,0,5.43,11.97,3.11,0,3.07,2999.74,0.51,0.91,0.65,0,0,9.2,0,0,0,0,631.02,0,0,38.3,11.49
 60-70,0,0,0,0,30.99,0,0,946.38,0,0,0,53.18,0,4.68,0,8.33,17.75,0,1.46,29.26,1.1,0,0,4911.48,11.21,2.29,10.68,0,0,8.89,0,0,1.01,0,609.07,0,0,14.68,2.72
 72-82,0,0,0.57,0,11.85,3.93,0,1458.51,0,7.37,3.95,99.95,4.13,2.85,8.56,0,37.1,3.43,0,32.37,0.74,1.08,1.04,4484.08,0,2.67,2.26,0,0,2.6,0,0,0,0,368.2,0.56,0.56,29.15,17.49
 84-94,0,0,0,0,12.85,16.62,0,934.92,0,0,0,50.83,0.93,0.85,1.07,5.3,17.69,0,1.71,38.15,0,2.46,4.12,2736.48,0,3.39,4.83,0,0,9.39,0,0,7.29,0,238.7,0.83,0.69,15.22,7.59
 96-106,0,0,0,0,11.1,35.05,0,767.87,0.57,0,1.88,55.78,5.56,1.6,2.33,0,30.46,19.25,0,34,0.71,1.02,4.22,2001.38,0,1.71,4.3,0,5.57,3.15,0,0,0,0,158.49,2.26,1.48,13.11,0
108-118,0,0,0.61,0,27.45,0,6.86,622.66,2.96,0,1.79,64.87,8.21,1.69,0,0,23.6,4.54,0.6,44.46,0,0,3.65,2058.01,1.55,4.07,0,0,2.86,3.08,0,1.48,0,0,70.15,3.05,1,33.67,2.63
120,0,0,0,0,17.45,3.25,7.39,498.41,0,1.12,0,88.62,1.68,0,3.46,0,1.76,0,0,37.72,0,9.54,3.14,3177.73,0,2.97,0,10.96,3.68,2.01,0,4.05,0,0,158.28,0,3.14,22.47,0
