stage,axial,blastomeres,epidermis,eye,gut,heart,immune,liver,mesenchyme,muscle,neural,olfactory,periderm,presomitic_mesoderm,slow_muscle,spinal_cord
  3-4,0,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.33,0,0,0,0,0,0,0,0,0,28.86,0,7.16,0,0,0
 14-21,0,0,0.82,0,0.85,1.92,0,1.95,3.62,0,2.83,0,0,1.06,11.29,1.61
 24-34,0,0,0,0,0,0,0,0,0,8.92,0,0.65,0,0,15.85,1.78
 36-46,0,0,0,0,0,0,0,0,0,0,9.47,0,0,0,0,0
 48-58,0,0,0,0,0,0.64,0,0,0,0,0.99,0,0,0,0,0
 60-70,0,0,0,1.05,0,0,3.68,0,0.67,0,0,0,0,0,0,2.77
 72-82,0,0,0,0,0,0,5.81,0,0,0,4.35,0,0,0,0,0
 84-94,0,0,0,1.5,0,0.8,1.2,0,0,0,3.97,0,0,0,0,0
 96-106,0,0,0,3.68,0,0,7.96,0,0,0,0.72,0,0,0,0,0
108-118,0,0,0,0,0,0,11.74,0,0,0,0.76,0,0,0,0,0
120,0,0,0,0,0,0,17.95,0,0,0,0,0,0,0,0,0
