stage,epidermis,erythrocytes,eye,fast_muscle,glial,heart,iridophores,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,4.27,0,5.7,0,0,0
 14-21,0.96,2.18,0,0,0,0.89,0,3.03,0,3.17,0,0,3.51,4.46,0
 24-34,0,0,0,0,0,0,0,0,0,8.26,0,0,0,0.63,0
 36-46,0,0,3.63,0,0,0,0,0,0,3.28,0,0,0,6.4,0
 48-58,0,0,10.46,0.51,0,0,0,0.84,0,2.77,0,0,2.63,1.13,0
 60-70,0,0,3.74,0,0,0,0,0,0.96,2.52,0.68,0,0,0,0
 72-82,0,0,39.16,0,0,0,0,0,0,1.02,0,0,0,0,0
 84-94,0,0,12.73,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,21.51,0,1.09,0,0,0,0,0.64,0,0,0,0,0
108-118,0,0,9.67,0,1.19,0,0.56,0,0,2.54,0,0,0,0,2.83
120,0,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0
