stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,201.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,263.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,9.89,0,12.69,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,9.39,0,0,0,0,0,0,0,0,0,0,0,38.03,7.17,0,0,24.11,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,84.02,0,0,0,0,0,0,0,0,0,0,0,48.99,0,0,0,59.35,0,0,0,4.36,0,0,0,0,0,0,0,0
 14-21,0,0,4.41,24.31,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0.84,41.91,7.74,6.24,0,0.86,0,24.47,0,4.06,0.9,0,24.03,0,0,0,0,0
 24-34,0,0,3.27,34.03,0.6,0,7.32,0,2.42,0,4.04,0,0,0,0,0,0,2.61,0,0,11.02,0,0,20.83,329.51,2.14,7.5,35.14,0,0,9.69,0,0,0,0,49.36,0,0,0,0,0
 36-46,0,1.4,0,29.41,0,0,29.65,0,0.63,0,3.23,0,0,0,0,2.47,0,1.17,0,0,9.51,0.56,0,5.32,872.01,1.96,3.67,54.65,0,0,0,0,0,1.34,0,60.94,0,0,0,0,0
 48-58,0,0,0,47.27,0,0,179.98,0,0,0,32.99,0,0,0,4.99,0,0,2.3,2.27,6.43,22.47,0,4.04,9.26,1930.77,0.47,3.14,57.61,0,0,2.77,0,0,0,2.49,121.21,0,0,6.7,0,0
 60-70,0,1.43,0,42.42,0,0,1970.5,0,3.09,1.96,43.77,1.43,0,0,0,0,1.16,3.1,0,0,53.52,0,0,10.41,3717.18,7.06,0,86.02,0,0,7.53,0,0,3.75,0,352.67,0,0,0,0,17.81
 72-82,0,0.93,0,56.07,5.08,0,3263.89,0,0.58,2.17,84.99,2.43,0,2.08,0.59,0,0.52,1.39,13.05,3.49,75.01,0.82,4.53,12.55,3208.91,1.41,7.92,72.46,0,0.87,8.36,0,0,2.29,0,356.38,1.21,0,10.43,0,3.52
 84-94,0,0,0,49.18,2.16,0,2135.38,0,0,3.01,69.82,6.12,0,0,3.76,0,2.86,1.1,0,1.36,57.77,0,1.93,7.35,1930.34,14.72,5.21,121.06,0,0,5.04,0,0,0.86,0,227.96,0,0.84,0,5.25,2.43
 96-106,0,2.75,0,43.14,13.83,1.05,2170.93,0,4.74,1.71,61.14,4.31,0,0,1.39,0,0,0.63,9.89,0,57.79,1.44,1.02,3.88,1419.03,1.92,9.47,93.97,0,6.23,37.2,3.82,0,2.15,0,66.32,0,0,0,0.86,0.75
108-118,0,0,0.49,62.02,0,0,1412.59,0.93,1.82,1.6,69.2,2.77,0,0,0.53,0,1.62,1.36,2.4,0,36.91,1.79,0,2.82,1861.95,10.99,9.9,109.24,0,0,7.88,0,0,0.59,0,92.92,0,0,3.29,0.49,2.65
120,0,0,0,71.69,0,0,906.51,0,0,6.63,108.28,3.22,0,0,0,0,0,0,3.09,0,46.52,0,0,10.51,2709.09,8.51,0,56.63,0,1.79,2.25,4.99,0,0,0,139.79,5.98,0,0,0,7.58
