stage,epidermis,gut,immune,ionocyte,iridophores,mesenchyme,neural,vasculature
  7-9,0,0,0,0,0,0,3.99,0
 14-21,0,0,0,0,0,0,0,2.82
 24-34,0,0,0,0,0,0,0,7.41
 36-46,0,0,0,0,0,0,0,5.98
 48-58,0,0,0,0,0.39,0,0,6.83
 60-70,0,0,11.48,0,0.72,0,0,7.03
 72-82,0,0,11.48,0,0,0,0,15.08
 84-94,0,0,6.27,0,2.51,0,0,7.49
 96-106,0,0,18.59,0,0,0.95,1.26,7.75
108-118,0,0.9,34.93,0.62,8.26,0,0,7.27
120,1.58,0,109.16,0,0,0,0,2.25
