stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,liver,mesenchyme,neural,olfactory,periderm,spinal_cord
  5-6,6.46,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,32.19,0,0,0
 14-21,0,1.66,0.96,0.91,0,0,0,1.19,3.34,0,0,0
 24-34,0,0,0,0.79,0,0,0,0,4.96,0.9,4.94,0.81
 36-46,0,0,0,1.63,2.46,0,0,0,2.22,0,0,3.3
 48-58,0,0,0,1,0,0.48,0,1.78,8.25,0.47,0,1.77
 60-70,0,0,0,6.65,0,0,0,0,0,0,0,0
 72-82,0,0,0,6.1,0,0,0,0,6.17,0,0,4.58
 96-106,0,0,0,0,0,0.82,0,0,2.03,0,0.91,0
108-118,0,1.96,0,1.92,0,8.09,0.63,0,0,0,0.79,0
120,0,0,0,14.1,0,0,0,0,0,0,0,0
