stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39,0,0,0,0,0,0
 14-21,0,1.38,1.3,0,0,0,0,0,0,0,0,0,0,0,11.55,0,1.19,0,0,0,0,10.52,0,0,0
 24-34,0,0,0,1.22,0,0,0,0,0,0,0,0.72,0,1.04,72.68,0,0,0,0,3.22,0.71,207.35,0,0,0.73
 36-46,0,0,0,0,1.04,0,0,0,0,0,0,4.29,0,0.74,223.82,0,0,0,0,0,0,287.71,0,0,0
 48-58,0,0,0,3.07,7.65,0,3.58,0,0,0,1.58,15.17,0,2.53,280,0,0.88,0,0,0.52,0,174.97,0,0,0
 60-70,0,0,0,0,1.43,0.76,3.32,0,0,0,0,12.52,0,0,186.19,0,0,0.94,0,2.44,0,75.16,0,0,0
 72-82,0,0.79,0,0,19.03,0,5.91,0.63,0,0,0,44.07,0,6.45,349.98,0,0,0,0,0,0,41.74,0,0,1.12
 84-94,0,0,0,1.36,19.29,0.67,5.51,0.56,0,0,0,23.45,2.67,0,152.18,0.61,0,0.92,0,0.76,0,29.83,0.55,0,0
 96-106,0,0,0,1.39,8.5,0,8.09,0,0,0,0,39.31,0,0,215.86,0,0,0.92,0,0,0,25.69,2.19,2.42,0
108-118,0,0,0,2.24,12.54,0,3.93,0,0.42,0.51,0,39.07,0,0,249.93,0,0,3.29,0,0,0,13.34,0,0,0
120,0,0,0,1.21,38.2,0,1.62,0,0,4.74,0,57.51,0,3.39,353.28,1.38,0,0,0,0,0,38.14,0,0,0
