stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,95.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0,0,0
  5-6,9.25,90.79,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.38,0,0,0,0,0,7.35,0,0,0,185.81,0,0,0,0,0,0,0,29.29,0,0,0,22.28,0,0,0,0,0,0,0
 10-12,0,4.72,0,8.94,0,0,10.28,0,0,0,59.06,0,0,0,0,0,0,0,405.47,32.11,0,0,33.39,0,17.48,0,0,0,0,0
 14-21,0,0,0,0,2.99,0,2.38,0,85.14,0.97,0,1.3,0,0,0,1.17,0,1.46,50.46,1.7,0,7.08,0,0,0,24.23,0,0,218.42,0
 24-34,0,0,1.71,0,1.43,0,0.85,0,101.64,0,0,0,4.04,3.74,0,5.36,0.71,0.62,112.16,1.31,7.83,11.43,0,0,0,20.86,10.5,1.42,203.24,0
 36-46,0,0,0,0,0,0,0,0,64.79,0,0,0,0,0,0,5.57,5.79,0,82.78,0,6.67,3.95,0,0,0,4.74,0,0,139.45,0
 48-58,0,0,0,0,2.36,0,6,2.95,57.54,0.41,0,0,0,0,0.81,9.8,2.33,0.51,65.82,0,12.37,12.84,0,0,0,4.96,0,0,140.82,0
 60-70,0,0,0,0,0,0,10.13,0,41.29,0,0,1.45,0,0,4.07,8.18,0.9,1.89,50.61,0,2.19,13.56,0,0,0,11.37,0,0,72.17,0
 72-82,0,0,0,0,0,0.52,8.02,0,36.64,0,1.34,0,0,0,6.77,4.17,0.73,2.26,32.08,0,9.43,19.57,0,0,0,0,0,0,36.1,4.65
 84-94,0,0,0,0,0,4.7,5.76,0,45.08,0.62,0.6,0,0,0,1.87,1.63,0,0,18.65,0.76,7.11,19.64,0,0,0,3.88,0,0,30.36,0
 96-106,0,0,1.57,0,0,2.87,0,0,24.95,0,0,0,0,0,6.07,0,0,0,11.11,1.86,5.95,21.64,0,0,0,0.58,0,0,22.05,0
108-118,0,0,0,1.19,0.5,20.68,5.83,0,13.02,0.61,0,0,0,0,3.6,0.91,5.99,0,14.48,0,7.32,25.62,0,0,0.79,2.67,0.66,0,16.66,0
120,0,0,0,0,0,14.76,15.58,0,24.04,0,0,0,0,0,9.27,0,0,0,35.27,0,18.18,42.31,0,0,0,6.86,0,0,10.42,0
