stage,epidermis,erythrocytes,eye,glial,heart,iridophores,mesenchyme,muscle,neural,olfactory,otic,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0.89,0,0,0,0,0,0,18.96,0,0,5.86,0,0
 24-34,0,0,1.15,0,0,0,1.35,0,155.21,3.28,0,41.83,0,0
 36-46,0,0,13.86,0,0,0,1.33,0,276.36,1.82,0,42.09,0,0
 48-58,2.4,0,42.14,6.96,0,0,0,0,347.32,0.43,2.08,53.62,0,0
 60-70,0,0,116.22,5.87,0,0,4.24,0.67,376.55,0,0,44.29,0,0
 72-82,0,0,112.9,1.98,0,2.8,7.46,1.37,374.89,2.5,0.91,19.51,0.71,0
 84-94,0.69,0,148.06,7.06,0,0,10.53,0,356.83,0.95,0,16.36,0,1.36
 96-106,1.31,0,125.48,3.96,0,0.75,2.07,0,265.12,2.47,11.02,16.45,0,0
108-118,0,0,80.67,3.95,0.8,0,5.9,0,227.96,0,0,2.33,3.63,2.85
120,0,0,37.8,0,0,0,10.09,0,214.72,0,0,0,0,0
