stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,150.49,2263.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.26,0,0,0,0,0,0,0,0,0,0,0
  5-6,96.06,1591.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.64,7.03,0,0,0,15.94,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.45,4.75,15.5,0,0,0,21.05,0,0,0,0,9.72,0,0,0,0,0,0,0,0,0,0,0,230.61,21.81,0,0,78.82,0,5.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.23,4.52,0,4.44,0,18.47,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,236.28,0,0,0,84.36,4.24,5.47,3.57,7.87,0,0,0,0,0,0,0,0
 14-21,0,0,0,21.99,1.03,0,2.71,0,0,0,0,0,0.85,0,0,0,0,0,0,2,0,0,1.22,39.36,1.15,1.44,0,0,1.15,0,1.28,0,0,0.81,6.88,0,0,0.85,0,0
 24-34,0,0,0,3.7,0.89,0,9.37,0,0,1.42,0.73,0,0.79,0,2.58,0,0,0,0,4.36,0,0,4.02,77.95,0,0,0,0,6.17,0,0,2.45,1.36,0.63,19.11,0,0,2.75,0,0
 36-46,0,0,0,1.58,0,0,10.94,1.93,0.6,2.63,0,0,0,0,0,0,0.95,0,0,7.56,0,0.67,4.01,88.78,0,0,0,0,8.92,0,0,0,0.7,0,19.61,0,0,3.19,0,0
 48-58,0,0,0,4.36,0.68,0,27.54,0.85,0,6.93,0,0.57,2.27,2.48,9.57,0,0.88,0.66,0,10.51,2.63,0.91,1.82,93.48,0,0.95,0,0,3.55,0,0,0.65,2.08,0,10.9,0,0,2.36,0,0
 60-70,0,0,0,0,0,0,42.03,0,0,16.6,0,5.9,1.91,2.62,0,3.41,0,0,1.46,10.84,5.63,0,0,145.7,0,0,6.36,0,0,0,0,0,1.34,0,29.93,0,2.55,1.42,0,10.94
 72-82,0,0,0,2.36,0,0,42.47,0,0,10.79,0,0,0,0,0,0,0,0,0,14.98,1.45,0,1.01,99,0,0,0,0,5.05,0,0,0.55,0,0,13.41,0,0,3.18,2.62,0
 84-94,0,0,0,0,0.63,0,54.27,0,0,11.06,0.6,0,0.8,2.46,2.17,0,0,0,0,22.37,0,0,0.71,73.83,0,2.89,0.59,0,10.91,0,0,0,0,0,2.59,0,0,11.5,0,0
 96-106,0,0,0,1.66,0,0,27.74,0,0,6.88,2.66,0,0,0,0,1.25,0,0.76,0,4.36,0,1.5,0,59.04,0,0.57,0.79,0,8.59,0,0,0,1.19,0,6.04,0,0,0,0,0
108-118,0,0,0,5.32,1.21,0.74,48.89,0.46,0.87,13.45,0,0,0,0.48,0.93,0.67,0,0,0,16.01,0,0,0,54.68,0,1.76,0,0,10.97,0,0,0,0,0,0.44,1.66,2.42,0.63,0.89,0
120,0,0,0,7.17,0,0,52.11,0,0,26.66,1.19,0,0,0,0,0,3.66,0,0,1.25,0,2.33,2.27,93.59,0,2.64,0,0,2.34,0,0,0,1.52,0,0,0,0,20.73,0,0
