stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.12,94.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.49,215.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,23.61,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.49,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.26,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.22,0,0,0,1.18,0,1,36.81,0,0,0,0,0
 24-34,0,0,0,0.76,0.95,0.76,0,1.74,0,0,0,1,0,0,0,0,0,0,0,1.74,0,0,1.45,340.36,0,1.36,0,0.6,0.79,0,151.05,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.96,0,0,0,4.27,0,0,0,0,0,0,0,0.74,0,0,0,470.12,0,6.63,0,0,0.72,0,267.39,0,0,1.01,0,0
 48-58,0,0,0.92,0,8.12,1.95,0,34,0,0,0,9.84,0,0,2.66,0,0,0,0,2.22,0,0,0,735.36,0,8.42,0,4.13,0,0,352.63,0,0,0,0,0
 60-70,0,0,0,0,7.06,0,0,288.75,0,0,1.64,27.53,0,0,0,0,7.65,0,0,25.01,0,0,0,1258.78,0,2.33,0,2.22,0,0,457.97,0,0,0,0,2.59
 72-82,0,0,0.81,0,8.35,0.58,0,303.69,0,0,0,32.52,1.41,0,0.49,0.61,0,0,1.89,31.67,1.48,0,0,1844.01,1.43,12.32,2.05,0,0,0,271.96,1.42,0,0,1.52,0
 84-94,0,0,0,0,12.76,0,0,207.12,0,0,0.94,36.49,0.68,0,0,0,0,0,0,32.36,0,10.91,0.56,1429.68,0.65,1.11,0,9.57,2.51,0,168.61,0,0,5.66,0,4.35
 96-106,0,0,0,0,7.23,11.95,0,259.49,0,1.68,0,37.81,0,0,0.6,0.67,1.79,0,0,29.68,0,0.59,0,1350.5,0.73,0,0.6,1.73,3.6,0,121.89,2.03,0.89,5.65,2.76,6.58
108-118,0,0,0.43,0,6.15,15.59,2.69,214.46,0,0,1.23,23.32,0,0,0,0,0.49,0.63,0,42.65,0,0,4.74,1431.01,1.94,8.95,0,12.86,0.58,0,103.3,1.77,4.54,1.67,0.71,1.55
120,0,0,0,0,5.19,2.55,0,194.64,18.76,0,0,81.34,0,0,0,0,0,0,0,48.79,0,0,2.35,2844.86,0,0,4.43,0,0,0,223.17,0,0,1.48,15.98,0
