stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,27.65,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.84,0,0,0,0,26.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.93,12.03,0,0,12.02,0,0,0,0,0,0,0,0,0,0
 10-12,9.7,0,20.07,0,0,9.28,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,184.96,7.99,0,0,33.59,4.52,0,0,19.62,0,0,0,0,0,0
 14-21,0,0,5.62,68.26,9.84,24.63,0,0,5.4,0,0,0.81,0,0.86,0,0,1.76,0,16.1,0,0,9.78,289.2,2.46,0.98,6.69,2.46,3.06,0.91,5.26,0.86,2.62,57.98,0,0,0,0
 24-34,0,0,1.33,8.8,0,25.35,0,0,3.7,0.73,0,1.24,0,0.61,0,1.55,3.53,0,14.13,0,0,4.64,213.16,1.07,8.35,4.17,0,8.36,0,0,2.79,0.77,51.27,0,0,0,0
 36-46,0,0,0,4.28,0,8.36,0,0.63,4.63,1.23,0,0,0,1.21,0,0,0.62,0,4.4,0,0,1.9,198.54,0.74,2.68,1.94,0,0,0,0,1.95,0,26.57,0,0,1.03,0
 48-58,0,0,0,6,0,18.44,2.82,0,6.97,0.38,0,0,0.57,0,0,0.86,0.37,0,11.16,0.57,1.41,1.31,76.08,0,1.04,0.45,0,0.99,0,0,0,0,20.19,0,0,0.41,0
 60-70,0,0,0,6.61,0,25,4.51,1.67,4.96,2.21,0,0.76,0,0.6,0,0,0.87,0,13.44,0,0,4.46,160.39,0,0.72,0.77,0,9.01,0,0,0,0,21.51,0,0,0,0
 72-82,0,1.65,0,8.26,0,25.03,1.14,1.16,21.12,3.02,0,0,0.63,1.01,0,1.51,0,0,26.34,0,0,2.53,105.89,0,2.8,1.71,0,2.12,0,0,0.64,0,10.5,0.53,0.5,0.64,8.92
 84-94,0,4.52,1.04,10.6,0,15.77,2.4,1.21,8.9,4.28,0,0,0.75,0,0,0.81,0.56,0,14.11,0,0.6,1.34,56.76,0.57,4.1,4.94,0,5.59,0,0,0,0,3.15,0,0,0,0
 96-106,0,0.63,0,5.78,0,11.61,0.58,1.76,21.76,2.41,0,0,1.37,0.9,0.92,0.68,1.12,0,27.59,0,0.93,0,72.97,1.28,1.85,3.97,0,2.85,0,0,0.7,0,7.12,1.02,0,1.32,0.9
108-118,0,1.24,0,15.95,0,25.94,0.7,2.8,12.62,4.32,0,1.02,0.65,2.79,0,0,1.5,0.97,18.28,0,6.34,2.66,128.85,1.14,1.83,5.81,0,0.42,0,0,2.14,0,7.29,1.29,1.16,0.43,0
120,0,0,3.17,27.63,4.37,4.95,0,0,32.4,10.7,0,0,8.81,0,0,4.16,0,0,31.87,0,0,1.54,341.8,0,7.23,12.74,0,6.08,0,0,5.67,0,9.9,0,0,1.1,0
