stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.66,202.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.06,180.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.49,0,0,0,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.33,0,11.85,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.25,0,0,0,47.37,0,7.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.37,0,0,0,17.71,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15.71,0.86,0,4.69,0,0,0,0,0,1.13,0,0,0,0,0,0,3.89,3.24,72.01,0,0,0,0,0,4.02,0,1.23,98.91,0.81,1.01,14,0,0,1.6,0,0
 24-34,0,0,0.81,0,2.96,0,0,1.4,0,0,0,0.89,0,0,0,0,1.45,0,0,0,4.89,0.95,163.3,7.16,0,1.09,0,0,0,0,0,48.71,0,0,32.85,0,0,0,0,0
 36-46,0,0,0,0,7.81,0,0,99.23,0,0,0,5.9,0,0,0,0,0,0,0,0,7.53,1.57,398.33,10.38,0.83,0.77,0,0,2.01,0,0,16.02,0,0,132.08,0,0,0,0,0
 48-58,0,0,0,0,1.05,0,0,116.38,0,0,0,16.11,0.84,0,0,0,0,0,0,0,17.93,1.39,791.57,6.54,0.79,0.44,0,0,0,0,0,3.83,0,0,203.41,0,0,2.52,0,3.09
 60-70,0,0,0,0,4.42,0,0,177.87,0,0,0,19.1,0,0.95,0,0,0,0,0,3.72,39.29,1.93,2685.75,0,0,0,0,0,3.22,0.64,0,0,0,0,316.09,0,0.9,2.98,0,5.27
 72-82,0,0,1.18,0,5.83,1.26,0,159.13,0,0.74,1.34,27.99,2.96,0.5,2.08,1.16,0,0,0,0,18.75,0,3035.34,0.52,8.2,0,0,0,2.23,0,0,0,0,0,253.93,0.74,0,6.96,0.5,22.24
 84-94,0,0,1.11,0,10.42,1.48,0,106.24,0,1.27,0,12.95,0.88,0,1.25,0,1.25,0.78,4.39,0.98,23.49,0,1687.3,0,2.08,2.12,0,0,9.41,0,0,0,0,0,170.8,0,5.89,0,0,0
 96-106,0,0,1.56,0,18.51,0,0,109.11,0,0,0,22.45,0.77,0,2.37,0,0.77,1.04,7.13,0,15.07,0,1818.37,0,8.35,5,0,0,0,0,0,0,0,0,80.13,2.05,0,0,0,8.81
108-118,0,0,0,0,16.3,0.63,2.19,126.11,0.56,0.88,0,62.61,1.4,0,2.04,0,0,1.12,1.29,0,14.44,2.36,2416.22,0,4.4,5.94,0,1.23,6.38,0,0,0,0,0,101.84,0,0,1.83,0,0
120,0,0,0,0,13.8,0,4.39,102.88,0,0,0,41.72,5.95,5.18,0,1.72,0,0,0,0,16.14,12.98,4811.52,0,2,0,0,3.68,6.09,0,0,0,0,0,285.06,12.35,0,0,0,15.67
