stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,12.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.37,0,0,0,16.85,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.85,10.2,0,0,0,0,0,0,2.99,11.86,0,0,0.97,0,2.87,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0
 24-34,0,0,0.86,6.87,0.85,0,0,0,0,0,11.75,70.83,0,0,0,0,0.88,0,0,1.79,2.22,16.41,0,0.72,0,0,0,0,0,0,0,0,19.44,0,0
 36-46,0,0,0,0,1.43,0,0,0.57,0,0,25.97,93.82,0,0,0.72,0,3.44,0,2.68,1.19,0.8,3.67,0,0,0,0,0,0,0,0,0,1.25,44.83,0.78,0
 48-58,0,0,0.43,0.66,1.89,0,0,0.38,2.51,0,1.8,65.99,0,0,0,0,12.15,0,6.74,0,7.35,10.21,0,0,0,1.73,0,0,0,0,0.64,8.62,20.39,2.91,0
 60-70,0,0,0,3.65,6.99,0.99,0,0,3.02,0,31.12,56.1,2.85,0,0.59,0,109.49,0,198.57,6.18,4.14,0,0,0,0,70.7,0,0,0,0,3.56,123.74,65.11,447.53,0
 72-82,0,0,0.49,19.62,112.46,0,0,5.21,11.57,1.91,0.58,67.97,0,5.75,0,0,119.86,0,286.01,2.63,74.11,0,0,1.21,0,59.12,2.31,0,0,0,4.98,235.13,102.58,1516.96,0
 84-94,0,0,0,10.86,143.74,0.7,9.17,0,10.32,0,0,82.65,0,0,0,9.11,129.39,0,198.78,2.18,52.98,0,1.13,2.09,0,40.22,0.77,0,0,0,0,295.44,115.23,2181.58,0
 96-106,0,0,5.3,27.27,62.92,0,0.74,0,1.46,1.82,1.3,112.12,0,5.73,4.88,28.18,197.59,0,211.27,18.68,81.59,0,0,0.68,0,168.87,14.74,0,0,0,0,292.15,180.84,2603.37,6.4
108-118,0.45,0,9.4,13.8,76.14,0,3.08,6.39,15.3,5.13,0,119.62,0.67,0,11.27,0,223.25,7.11,141.33,9.67,59.16,8.49,1.27,0,0,215.21,6.6,0,1.98,1.17,2.73,225.54,119.92,1702.58,2.14
120,0,0,3.05,36.2,27.83,2.05,0,1.92,3.24,1.84,0,137.35,0,0,8.29,0,153.87,0,148.43,16.06,94.87,3.96,0,0,0,217.17,7.16,0,0,0,0,296.44,133.83,2852.98,4.77
