stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,12.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.78,0,7.66,0,0,0,0,0,0
 10-12,0,0,5.91,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,4.62,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,1.77,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0.63,17.77,0,0,0,0,6.8,0,0,0
 36-46,0,0,0,0,0,1,0,0,0,0,0,0,0,0.63,0.59,16.73,0,0,0,0,0.59,0,0,0
 48-58,0,0,0,0,0,5.8,0.56,1.6,0,0,0.51,0,1.63,0,0,17.03,0,0,1,0,0.72,0,0,0
 60-70,0,0,0,0,0,5.46,0,0,5.77,0,0,9.05,3.43,0,0,14.96,0,0,0,0,2.93,0,0,0
 72-82,0,3.22,0,0,15.73,8.34,0,0,30.98,0,0,0,4.76,0,0,5.8,0,0,0.7,0,0,0,0,0
 84-94,0,4.2,0,0,8.03,8.99,0,0,39.26,0,0,0,5.27,0,0,2.72,0,0,2.32,0,0,0,0,0
 96-106,0,0.81,0,0,9.53,31.15,0,0,188.37,0,0,0,18.48,0,0,46.67,0,0,0.64,0.93,0,0.58,4.05,0
108-118,0,1.52,0,4.26,3.28,3.76,0,2.54,416.07,0.59,0,5.11,9.73,0,0.96,50.02,0.6,0,0.48,0,0,0,2.75,2.33
120,0,3.74,0,0,9.09,18.44,0,0,369.24,0,0,5.83,21.87,0,0,68.31,0,0,0,0,0,0,1.35,0
