stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.91,0,1.68,0,0,0,0,0.83,0,0,0,0,0,0,0,1.91,0,0,1.28,24.04,0,0,0,0,0.83,0,2.81,7.27,0,0,0,0
 24-34,0,1.44,0,11.39,0,0,0,1.22,0,0,0,0,0,1.53,0.66,9.44,0,0,2.82,76.43,0.74,0,1.36,1.47,0,0,2.36,7.15,0,0,3.56,0
 36-46,0,2.47,0,18.37,0.94,0,0,3.72,8.68,0,0,0,0,0,0,4.55,0,0,1.67,95.48,0,1.09,0,8.1,0,0,0,15.84,0,0,0,0
 48-58,0,4.95,0,42.56,0,0.93,0,6.63,0,7.67,0,4.83,0.48,0,0,11.05,0,0,0.43,84.31,0,0,0,1.06,0,0,0,13.23,0,0,0,0
 60-70,0,2.75,1.64,20.74,0,0,5.6,18.91,2.66,0,0,0,0,0,0,8.32,0,14.49,0,72.82,6.22,0,1.03,0.63,0,0,0,3.72,0,0,0.73,0
 72-82,0,1.36,0,17.09,0,4.73,0,5.61,0,0,0,0,0,0,0,3.07,0.83,0,0.7,35.22,0,0,0,0,0,4.56,0,3.03,0,0,1.62,1.27
 84-94,0,4.66,0,9.54,0,1.11,0,3.81,0.66,3.56,0,0,0,0,0,6.17,0,0,2.31,28.41,0,0,0,7.84,0,0,0,3.31,0,0,6.26,0
 96-106,0,0,2.85,4.42,0,0,0,0,3.43,0,0.81,0,0,0,0,1.39,0,0,0.91,18.23,0,0,0.98,3.06,0,0,0,0,2.45,0,5.85,0
108-118,0,2.75,0,17.69,0,0,0.47,5.85,0,0,0,0,0,0,0,8.23,0,0,0,35.29,0,0,0.79,1.64,0,0,0,1.47,0,0,1.99,0
120,0,11.17,0,33.36,0,0,0,25.99,0,5.61,0,0,0,0,0,7.67,3.22,18.77,4.61,247.11,0,1.46,0,3.54,0,0,0,0,0,3.24,4.54,0
