stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.79,441.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.52,0,0,0,0,0
  5-6,7.29,272.03,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,6.16,0,0,0,0,0
  7-9,4.49,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0,41.15,0,0,0,0,0,0,0,0
 10-12,0,0,3.62,0,11.1,3.97,0,0,0,0,0,0,0,0,0,109.49,9.32,0,0,16.26,0,0,0,0
 14-21,0,0,0,2.81,0,0.89,0,0,0,0,0,0,0,0,0,1.18,0,0,0.86,0,0.82,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,1.55,2.66,1.72,0,0,0,0.76,0,0,5.07
 36-46,0,0,0,0,0,1.74,1.15,0,0,0,4.73,0,0,0,0,13.41,0,0,3.65,0,0.79,0,0,0
 48-58,0,0,0,0,0,4.68,0,0,1.96,0,0,0,0,1.93,0,22.52,0,0,0,0,5.96,0,0,0
 60-70,0,0,0,0,0,14.23,0,0,0,0,0,1.91,0,1.82,0,38.58,0,1.97,0,0,3.41,0,0,0
 72-82,0,0,0,0,0,15.54,0,0,0,0,0,0,0.65,2.97,0,28.27,0,0,0,0,0.79,0,0,0
 84-94,0,0,0,0.59,0,5.89,0,0,0,1.95,0,0,0,5.85,0,14.74,0,0,0,0,0,0.88,0,0
 96-106,0,0,0,1.38,0,15.77,0,0,1.76,0,0,0,0,14.38,2.24,17.75,0,0,0.75,0,0,0,0.74,0
108-118,0,0,0,0,0,9.39,0,3.26,2.22,0,0,0,0,0,0.86,22.17,0,0,0,0,0,0,1.05,0
120,0,0,0,0,0,8.27,0,0,0,3.52,0,0,0,1.4,0,10.68,0,0,0,0,0,0,0,0
