stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,0,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0
  7-9,3.75,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.25,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97,0,0,0,0,0,0,0
 14-21,0,0,0,1.02,0.94,0.85,0,0,0,0,0,0,0,0,2.85,6.59,0,0,24.6,0,0,0,2.85,10,0,16.3
 24-34,0,0,0,2.06,3.72,5.56,0,0,0,0,0,0,0,0.66,0,2.1,0,0,211.23,0,0,0,0,19.36,0,96.44
 36-46,0,0,0,1.8,0,1.39,0,0,4.64,0,0,0,0,0,0,0,0,0,155.45,0,0,0.59,0,11.22,0,124
 48-58,0,0,0,0.75,0,2.48,0,0,1.1,0,0,0,0.49,0,0,7.13,0.42,0,85.3,0,0,0,0,5,0,159
 60-70,0,0,0,0,0,103.81,0,0,0,0,0,0,2.05,0,0,18.38,0,3.73,81.23,0.71,0.71,0,0,0,0,155.39
 72-82,0,0,0,0,6.06,317.94,0,0,9.45,0,0,0.53,5.83,0,0,41.22,0,2.06,108.14,1.57,0,0,0,0,1.28,166
 84-94,0,0,0,1.34,0,382.79,0.91,1.36,14.22,0,0,0,0.55,0,2.42,23.14,2.71,1.02,75.63,2.77,0,1.47,0,0,0,155.83
 96-106,0,0,0,0,1.27,540.38,0.75,0.64,6.51,0,0,0,3.16,0,2.64,49.26,0,0,88.37,3.63,0,0,0,0,1.84,182.09
108-118,0,0,0,0,0.66,425.7,0.48,0,1.57,0.43,0.82,0,8.71,0,1.34,39.21,0,0,45.21,1.2,0,1.24,0,3.55,1.38,248.9
120,0,0,0,0,0,295.26,0,0,4.83,0,0,0,8.17,0,0,57.34,4.76,5.56,123,8.58,9.36,0,0,3.82,0,55.89
