stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,6.85,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.79,0,0,0,3.34,0,0,0,0,0,0,0,0,0
 14-21,1.41,0,0,0,0,0,0,1.01,0.85,0,0,0,0,0,0,0,38.39,0,0.95,0,0,0,0,0,2.76,24.77,0,0,0,0
 24-34,0.9,0.62,0.82,0,2.52,0,0,5.17,0,0,0,0,6.53,4.24,0,2.01,316.43,0,0,0,0,0,0,0,0.61,76.13,0,0.83,0,0
 36-46,0.95,0,0,0,3.38,0,0.6,2.13,0,0,0,0,0,6.21,0,0,623.44,0,3.57,0,0,0,0,0,0,115.55,0,5.63,0,0
 48-58,0.88,0,11.42,0,59.89,0,0.55,6.68,0,4.3,0,0,0,3.32,0.7,0.75,781.9,3.49,1.26,0,0,0,0,0,0,94.93,0,1.52,0,0
 60-70,0.7,0,6.17,0,153.27,3.05,0,19.29,1.24,0,0,0,0,15.2,0,0,972.96,0,0,0,0,0.62,0,1.34,0,116.6,0,2.98,0,0
 72-82,2.8,0,8.41,5.64,210.17,0,0,23.38,0.94,0,4.13,0,0,8.95,0,0,986.56,0,1.07,0,0,0,0,0,0,146.73,0,2.09,0,0
 84-94,5.04,0,1.28,3.39,169.5,0,0,7.86,3.49,0,0,0,0,8.36,0,0,673.59,0,1.11,0,0,2.92,0.56,0,0,91.48,1.08,3.72,0,0
 96-106,4.56,0,2.5,0,201.51,0,0,12.33,1.06,0,0.79,0,10.33,11.24,0,0.92,551.24,0,0,3.03,0,1.93,0,0,0,13.67,0,2.03,0.87,0
108-118,1.32,0,2.36,1.63,150.23,0,0.73,13.66,1.9,0,0,2.67,0,2.79,0,0,569.95,0,1.5,0,0,0,0,0.66,0,30.45,0,3.39,0,3.17
120,11.35,0,16.34,0,199.59,0,0,15.37,3.22,0,8.6,0,0,14.46,0,0,868.33,0,2.2,0,0,3.29,0,0,0,28.62,0,20.44,0,0
