stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.09,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,193.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.05,0,9.34,0,0,8.03,0,0,0,0,5.02,0,0,0,0,0,0,0,0,178.31,15.34,0,0,33.36,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,42.29,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,120.47,4.18,0,0,63.59,0,0,0,11.15,0,0,0,0,0,0,0
 14-21,0,0,1.1,1.18,0,2.06,0,0,3.71,0.87,0,0,0,0,0,0,1.91,0,3.63,24.54,2.21,0,1.65,0,0,0,0.82,0,7.41,9.65,0,0,0,0,0
 24-34,0,0,0.61,0,0,8.02,0,0,1.2,0,0,0,1.17,0,0,0,10.83,0,3.54,130.94,0.79,0,0,0,0,0,0,0,0,23.6,0,0,3.1,0,0
 36-46,0,0,0,2.59,1.07,20.65,0,0,0.99,0,0,0.99,0,0,0,2.72,13.08,0.89,0,161.12,11.43,0,0.8,0,0,0,0,0,0,28.36,0,0,2.56,0,0
 48-58,0,0,0,0,0,21.36,0.39,0,4.36,0,0,0,0,0.45,0,0,12.35,1.3,10.14,158.75,0,1.18,0,0,0,0,0,0,0,34.14,0,0,0.9,0,6.84
 60-70,0,0,0,0,0,50.61,0,0,11.57,0,0,0,0.63,0,0,0,23.78,0,3.95,207.67,0,2.51,0,0,0,0,0,0,0,30.56,0.81,0,0,0,0
 72-82,0,0,0,0,0,38.25,0,0,4.33,0,0,0,0,0,0,0,8.56,0,0.72,131.79,0,0,0,0,0,0,0,0,0,38.66,0,0,4.04,0.54,0
 84-94,0,0,0,1.94,0,46.7,0,0.91,3.62,0,0,0,0,0,0,0,14.49,2.64,3.52,218.89,0,0.71,0,0,2.68,2.05,0,1.81,0,7.79,0,2.05,3.42,0,0
 96-106,0,0,0,0,0,47.04,0,1.01,14.64,0,0,0.95,0,0,0,0,2.66,0,1.41,183.57,0,1.93,1.24,0,1.3,0,0,0,0,1.51,0,0,0.92,0,1.36
108-118,0,0,0,1.21,0,27.12,0,0.66,6.03,0,0,0,1.59,0,0,0,21.69,0,5.29,237.13,0,1.54,1.27,0,1.83,0,0,0,0,5.3,0,0.41,1.82,0,0
120,0,0,0,2.28,0,48.65,0,0,41.09,1.91,0,0,0,0,3.61,0,47.64,0,10.84,326.76,0,0,0,0,0,1.72,0,0,0,29.64,0,0,0,0,0
