stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,12.59,1073.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,0,0,0,0,0,0
  5-6,39.14,1197.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.82,14.56,0,0,31.45,0,9.59,0,0,0,0,0,0,0,0,0
  7-9,66.15,109.09,42.85,0,0,0,282.43,0,0,0,0,0,88.66,0,0,0,0,0,0,0,0,0,1836.41,60.12,0,0,626.57,0,0,5.15,0,0,0,0,0,0,0,0
 10-12,5.75,80.83,78.15,0,10.4,0,112.06,0,0,0,0,0,22.73,0,0,0,0,0,0,0,0,0,1137.75,26.1,0,0,661.11,0,0,11.24,0,73.18,0,6.54,0,0,0,0
 14-21,0,0,0,12.71,2.61,0,5.03,0,0,0,0.84,0,0,0,0,0,0,0,0,1.06,0,2.24,77.65,0,0,1.53,3.27,0,0,2,22.49,0,0,20.53,22.25,0,0.96,0
 24-34,0,0,0,1.49,0,0,12.44,0,0,0,1.36,0,0,0,0.65,0,0.64,0,0,2.24,0,6.06,117.01,0,0,0.82,0,0,0,0,1.58,0.6,0,5.35,25.66,0,4.83,0
 36-46,0,0,0,1.38,0,0,11.1,1.47,0,1.79,4.17,0,0,0,0,0,0,0.99,0.61,5.26,0.74,1.73,72.02,0,0,1.03,0,0,9.44,0,0,0,0,0,10.08,0,1.43,0
 48-58,0,0,0,7.26,0,0,52.6,0.81,0,0,7.99,0,0,0.47,0,0.38,0.98,0,0,13.29,0.91,17.76,57.12,0,0,0,0,0,0.59,0,0,0.65,0,0,6.95,0,6.4,0
 60-70,0,0,0,1.13,0,0,40.82,0,0,0,6.02,0,0,0,0,3.46,0,1.75,0,7.76,0,0,14.77,0,0,0,0,0,2.14,0,0,0,0,0,2.23,1.47,0,0
 72-82,0,0,0,2.71,0.64,0,29.96,0,0,1.91,11.82,0.71,0,0.89,0,0,0,0.6,0,16.38,1.2,3,38.88,0,0.77,0,0,2.23,5.5,0,0,0,0,0,4.31,0,0,0
 84-94,0,0,0,1.44,0,0,19.74,0,0,2.46,0,0.66,0,0,0,0,0,0,4.18,9.11,3.1,3.35,18.07,0,0.56,0,0,0,3.73,0,0,0,0,0,0,0,1.73,0.82
 96-106,0,0,0,1.36,0,0.8,13.93,0,4.37,0,2.97,0.79,0,0,0,0,0,0,0,25.14,0,4.06,11.38,0,0.59,0,0,0,4.15,0,0,0,0,0,0,0,3.06,0
108-118,0,0,0,2.53,0,0,6.81,0,0,0,11.15,0,0,0,0,0,0,0,0,8.27,0,5.39,9.79,0.47,0,0.49,0,0,0.96,0,0,0,0.41,0,0,0,0,0
120,0,0,0,3.93,1.56,0,13.29,0,1.16,0,16.29,0,0,0,0,0,0,0,0,23.44,0,1.86,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
