stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,14.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.62,0,0,0,0,0,0,0,0,0
 10-12,0,9.7,0,0,15.29,0,0,0,0,0,0,0,0,0,0,73.49,127.78,0,0,2565.64,0,46.82,12.92,0,375.26,0,0,0,0
 14-21,0,0,3.14,0,0.97,0,0,0,0.97,0,2.13,0,0,0,43.22,13.05,2.94,0,0,13.97,0,404.26,0,603.03,2318.35,3.84,0,0,0
 24-34,0,0,0,0,1.17,7.85,0,0,0,0,0,0,2.7,0,25.12,27.1,0.7,0.6,0,0,4.64,1.02,4.79,74.1,552.81,6.63,0,0.65,0
 36-46,0,0,0,0,0.63,17.87,0,0.6,0,0,0,0,0.78,0,15.36,4.34,0,0.65,0.8,0,0,0,0,26.6,11.21,2.48,0,0,0
 48-58,0,0,0,0,2.46,17.79,0,0,0,0,0,0,1.56,0.51,31.68,13.15,0,0,0,0,0,0,0,8.51,0.55,2.89,0,0,0
 60-70,0,0,0,0,17.1,20.56,0,0,0,0,0,0,0.61,0,33.24,1.47,0,0,0,0.81,0,0,0,15.54,0,8.09,0,0,0
 72-82,0,0,0,0,3.65,30.19,0.51,0,1.91,0,0,0,2.52,0,29.59,14.73,0,0,4.21,0,5.8,0,0,3.93,0,0,0,0,0
 84-94,0,0,0,0,1.97,18.44,0,0,1.06,0,0,4.96,0,0,39.23,21,0,0,0,0,0,0,0,9.21,0,5.14,0,0,0
 96-106,0,0,0,7.04,20.77,33.55,0,0,0,0,0.61,0,5.79,0,43.94,21.83,0.97,0,0,1.2,1.59,0,0,29.97,0,0,0,2.53,3.39
108-118,0,0,0,0,12.4,35.81,0,0,7.87,0.64,0.84,0.64,8.21,3.3,57.47,12.7,0,0,0,8.11,2.45,0,0,12.68,0,0,0.86,0,0
120,0,0,0,3.5,3.83,21.09,0,0,7.3,0,0,0,16.18,0,71.95,15.17,0,0,0,0,0,0,0,24.17,0,17.7,0,0,0
