stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.68,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,0,0,0,0,0,38.55,0,0,0,0,0,0,2.13,0,0,0,0,1.48,0,0,0,0
 24-34,0,0,7.75,0,0,0,0,0,120.4,0,0,0,0,0,1.71,5.35,0,0,0,0.67,0,0.94,4.97,0,0
 36-46,0,0,0,0,0,0,0,0,121.7,0,0,0,3.51,0,0,5.03,0,0,0,0,0,0,6.5,0,0.74
 48-58,0,0,0,1.85,0,1.54,0,0,152.02,0,0,0,18.21,0,0.7,12.65,0,0,0,0,0,0.54,7.49,0,17.9
 60-70,0,0,1.25,4.31,0,0,0,0,196.25,0,0,0,12.91,0,0,14.79,0,0.84,0,0.79,0,0,9.67,0,3.48
 72-82,0,0,5.58,0.54,0,0,0,0,218.04,0,0,0,0,5.03,0.68,4.74,0,0,0.91,0,0,0.92,17.6,0,13.51
 84-94,0,0,5,4.25,0,0,0,0,340.34,0,0,0,2.25,1.46,0,2.35,0,0,0,0,0,0,22.95,0.57,13.24
 96-106,0,1.65,4.56,8.33,0,0,0,0,413.35,0.86,0,0.63,0,4.55,0,10.82,0,0,6.16,1.56,0,0,30.16,0,0
108-118,0,0.76,5.78,3.44,0.54,3.21,0.9,0,432.1,0,1.41,0,0,5.77,0,35.47,0,0.84,1.21,0,0,0,18.77,0,3.34
120,0,0,15.8,1.29,0,0,0,0,433.73,0,1.58,0,0,19.07,2.77,9.65,3.25,0,5.18,0,0,0,18.04,0,0
