stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,9.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.63,4.77,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0
 14-21,0,0,1.11,0.99,0,0,0,0,1.24,10.78,0,0,0.89,1.64,0
 24-34,0,0,8.63,0,1.72,0,0,2.77,0,7.23,0,0,0,0.66,0
 36-46,0,0,0,0,0.62,0,0,6.25,0,6.58,0,0,0,2.36,0
 48-58,0,0,0,0,0.45,0.47,0,1.07,0,4.67,0,5.62,0,0,0
 60-70,0,0,0,0,7.41,0,0,0,0,4.96,0,0,0,1.55,0.93
 72-82,0,0,0,0,1.32,0,0,3.36,0,4.87,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.17,0,0,1.7,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,5.86,0,0,0,0,0,0,0.65
108-118,0,0,0,0,0.93,0.68,0,1.53,0,6.89,0,1.11,0,0,0
120,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,2.5
