stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle
  5-6,16.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.76,0,0,0,0,0,11.87,0,0,0,0,0,0
 10-12,0,0,0,6.32,0,0,0,0,0,16.86,4.59,0,8.58,0,0,0
 14-21,0,2.54,0,0,0,0,0,0,0,1.95,0,0,0,1.04,2.16,0
 24-34,0,0,1.22,3.78,0,0,0,0,0,7.99,0,0,0,0,1.03,0
 36-46,0,0,0,5.56,0,0,0,0,0,22.88,0,0,0,0,4.08,0
 48-58,0,0,0,2.69,0,0,2.14,2.59,0,9.73,0,0,0,0,1.04,0
 60-70,0,0,0,6.15,0,0,0,7.19,0,4.8,0,0,0,0,2.8,0
 72-82,0,0,0,5.89,1.6,0.58,3.7,0,0,11.05,0,0,0,0,0.95,1.19
 84-94,0,0,0,1.83,0,0,0,0,0,6.23,0,0,0,0,0,0
 96-106,0,0,0,7.93,1,0,0,0,0,2.48,0,1.85,0,0,0,0
108-118,0,0,0,0,0,0,1.32,0,0.53,8.35,0,0,0,0,0,0
120,0,0,0,2.86,0,0,0,0,0,10.98,0,0,0,0,0,0
