stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,106.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,21.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2,0,0,0,6.19,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.92,0,0,0,11.08,0,0,0,7.03,0,6.54,0,0,0,0,0,0
 14-21,0,0,0,0,4.83,1.8,0,1.32,0,0,0,0,0,1.07,0,0,0,0,0,0,2.03,0,0,0.94,39.99,1.99,2.32,0.96,0,0,1.44,1.48,0,0,0.82,53.22,0,0,0.91,0,0
 24-34,0,0,0.8,2.5,6.16,0,0,13.19,0,1.39,0,4.95,0,2.37,0,0,0,0,0.9,0,9.88,0,0,1.77,1064.53,0.6,30.55,0,0,0.99,9.67,0,0,0,1.59,465.28,0,0,7.67,0,0.77
 36-46,0,0,0,0,3.79,1.37,0,98.83,0,0,0,9.16,0,0.72,0,0,17.12,0,7.34,15.27,11.11,0,0,0,3649.83,0,40.13,1.69,0,0,3.61,0,0,1.32,0,1107.91,0,0,6.81,0,0
 48-58,0,0,1.29,0,9.4,2.09,0,431.32,0.68,0,7.99,88.53,0,0.86,2.5,0,0,0,1.42,9.9,56.24,0,0.42,5.92,6199.88,0,37.86,3.09,0,0.47,7.35,0,0.43,2.16,0,1481.33,0,0,1.86,0,14.12
 60-70,0,0,0,0,29.65,0.57,0,1601.47,0,10.09,2.69,112.96,0,0,12.78,3.69,2.52,0,0,21.96,60.69,0,0.85,9.17,10469.78,0,45.13,6.63,0,2.31,38.86,0,0,0,0,2071.72,0,4.4,25.29,3.8,21.42
 72-82,0,0,4.37,0,86.59,72.97,3.14,2428.36,3.72,0.63,4.36,165.74,5.34,1.32,4.09,1.5,2.8,0,5.32,12.88,101.53,1.71,6.11,6.47,9521.6,0.62,38.57,5.01,0,4.33,19.21,0,0.73,0,0,1845,2.31,0.93,34.39,1.63,13.62
 84-94,0,0,1.01,0,57.89,76.31,0,1712,0.68,8.06,4.64,109.47,2.59,0,1.33,3.2,12.74,0,4.77,32.78,90.21,0,5.18,2.76,6133.29,2.82,34.27,6.13,0,2.3,12.38,0,0.66,1.03,0,1206.17,0.66,4.06,28.62,9.01,20.47
 96-106,0,0,2.06,0,58.93,36.79,2.47,1674.44,5.75,3.64,2.26,159.04,3.35,0,21.62,4.38,5.94,2.9,19.5,5.1,64.99,0,3.36,15.76,5566.76,0,55.56,10.06,0,8.18,20.26,0,0,0,0,599.2,4.8,4.57,70.61,0,18.63
108-118,0,0,7.53,0,62.92,24.93,0.92,1362.46,0,2.13,3.16,145.56,4.39,6.47,11.25,3.03,11.2,2.24,16.6,22.96,68.74,1.07,3.13,4.37,7180.81,0,49.9,23.19,0,2.26,13.03,0,0,0,0,527.81,6.16,1.46,22.77,0,7.5
120,0,0,5.95,0,75.47,9.91,0,1802.51,0,5.59,8.87,263.48,4.22,0,18.56,0,0,0,0,3.12,188.89,1.65,9.25,16.54,12662.36,4.9,43.05,14.51,0,0,12.61,0,9.09,0,0,913.62,0,0,53.97,0,2.21
