stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,neural
  3-4,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.54,0,0,0,0,0,0,0,0,0,0,0,8.83
 36-46,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0
 60-70,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,41.43,1.87,0,0.57,0,0,0,0,0,0,0,1.99
 84-94,0,0,25.36,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,106.45,0,0,1.81,9.44,0.91,0,0,0.72,0,0,1.01
108-118,0,0,111.34,0,0,0,25.73,0,3.38,2.21,0.61,4.31,0,3.39
120,0,0,119.15,0,1.08,0,45.54,0,0,0,0,0,0,0
