stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,otic,periderm,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.84,0,0,1.47,0,1.23,3.34,0,0,3.71,0,0,0
 36-46,0,0,0,2.61,0,0,0,0,0,0,0,0,0,8.42,0,0,1.78,0,0,0
 48-58,0,0,0,7.76,0,0,0,2.17,0,0,1.86,0,0.56,8.23,0,0,0,0,0,0
 60-70,0,0,0,5.81,0,0,0,0.81,0,0,0,1.11,0,29.79,0,0,2.88,0,0,0
 72-82,0,0,0.84,4.7,0,5.06,0.66,1.79,0,0,3.11,0,0,17.13,0,0,12.7,0,0,0
 84-94,0,0.86,0,1.26,0,0,0,2.32,0,0.83,0.79,0,0.95,29.27,0,0.59,9.27,0,0,5.99
 96-106,0,0.6,0,5.45,0,0,0,0,0,0.95,0,1.24,0,6.32,1.18,0,0,0,0,0
108-118,0,0,0,4.27,0,0,0,3.25,0,0,0,0,0.54,18.31,6.7,0,9.53,0.48,1.03,0
120,2.82,2.85,0,0,1.75,0,0,0,1.85,0,2.66,0,0,43.73,0,2.41,0,0,0,0
