stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,spinal_cord,taste,xanthophores
  3-4,0,67.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.95,77.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,16.07,0,0,0,0,0,0,0,0
 10-12,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,21.21,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0
 24-34,0,0,2.22,0,0,0,0,0,0,0,0,0,0.87,0,0,2.27,13.57,0,26.31,0,0,0.89,0,0
 36-46,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,11.46,27.46,2.74,30.18,0,0,0,0,0
 48-58,0,0,0,0,0,2.08,0,0,0,1.04,0,0,0,0,0,7.89,33.52,0,84.03,0,0,0,0,0
 60-70,2.52,0,0,0,0,0,21.37,2.86,0,5.62,0,0,6.38,0,0,12.51,27,0,142.6,0,0,0,0,0
 72-82,0,0,0,0.85,2.99,0,3.68,0,0,0,0,1.36,1.68,0,0,11.7,12.12,0,301,0,0,0,0,0
 84-94,0.62,0,2.8,2.37,3.47,0,0,0,0,1.16,0,0,0.91,0,0,1.77,28.11,0,381.3,0,0,0,0,0
 96-106,0,0,31.43,7.51,10.43,3.35,1.77,0,0,1.27,1.24,0,6.18,1.5,0,9.14,8.64,0,472.27,3.93,0,0,0.66,9.75
108-118,0.67,0,4.29,1.66,11.33,0,5.39,0,0,0.85,0,0,11.05,0,3.12,9.46,23.38,0.77,772.18,0.58,0,0,0,0
120,9.06,0,35.72,0,23.01,2.78,30.51,2.41,0,0,16.33,0,4.25,12.35,0,58.21,61.19,0,898.52,0,1.99,0,0,0
