stage,axial,glial,neural,otic,periderm,spinal_cord
  5-6,6.85,0,0,0,8.01,0
 10-12,0,0,4.83,0,0,0
 36-46,0,0,0,0,1.4,0
 48-58,0,0,1.43,0,0,2.12
 60-70,0,0,0.85,0,1.52,2.72
 72-82,0,0.99,5.45,0,0,0
108-118,0,0,2.05,4.18,0,0
