stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.92,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,3.43,0,0,0,335.38,0,1.66,1.24,0.96,0,605.77,2.43
 24-34,0.65,0.81,1.9,0,0,1.43,0,0,1.26,0,0,4.57,122.59,0,0.66,0,1.01,0.68,1353.16,9.31
 36-46,0,0,0,4.42,0,0,0.79,0,0,0,0,0,60.81,0.6,0,0,0,0,123.19,0
 48-58,1.49,0,2.3,0,0.64,0,0,0.41,0,2.72,0,0.75,163.82,0,0,0,0,0,135.48,0
 60-70,0,0,0.57,0,3.78,0,0,0,0,0,0,0,78.85,0,0,0,0,0,101.97,0
 72-82,0,0,0,0,0.93,0,0,0,0,6.34,0,0,71.55,0,0,0,0,0,24.58,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,20.59,0,0,0,0,0,47.24,0
 96-106,0,0,0.74,0,0,0,0,0,0,0,2.68,0.57,0,0,0,0,0,0,15.41,0
108-118,0,0,4.86,0,0,0,0,0,0,0,92.23,0,110.37,0,0.48,0,0,0,32.49,0
120,0,0,14.93,0,0,0,0,0,0,0,51.74,0,3.38,0,0,0,0,0,12.17,0
