stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3.84,21.31,435.38,59.24,213.76,0,3.28,0,46.13,15.29,7.6,0,4.99,0,0,0,6.3,216.09,0,0,258.53,2048.91,312.17,6.61,26.74,30.68,0,2.14,1.38,165.03,14.39,64.19,432.58,715.54,0,0,12.74,0,0
 24-34,0,1.91,15,217.81,9.16,280.98,3.32,9.99,14.02,88.09,3.57,20.21,0,1.01,1.78,11.1,3.68,6.05,665.07,0,3.5,367.02,4704.02,93.16,40.9,33.12,0,2.6,19.21,0,3.18,16.63,25.49,128.26,1339.42,0,0,80.24,0,3.85
 36-46,0,1.89,0,142.85,3.99,633.41,21.92,33.85,44.02,309.82,1.99,19.2,0.64,0,1.91,6,0,2.1,717.6,5.89,9.1,200.47,5329.84,98.95,83.15,58.5,0,4.76,37.04,0.78,12.21,5.08,35.9,5.1,1527.67,0,1.23,53.4,0,3.92
 48-58,0.77,0,0,122.18,2.35,915.29,14.35,38.18,44.1,518.44,0,22.95,0.43,0,19.26,3.53,5.91,5.35,741.73,3.56,37.94,113.68,4142.01,38.14,38.19,35.03,0,0,8.96,0,0,0.92,17.04,0,1433.77,0,1.92,36.45,0,11.83
 60-70,1.61,0,0,121.77,17.79,1388.65,7.97,23.23,26.8,453.26,1.43,14.7,6.87,5.26,13,0,8.92,2.33,919.59,1.83,25.08,94.04,3458.74,26.63,51.1,50.74,0,14.18,12.94,0,0,1.55,5.92,0,750.3,0.61,10.07,45.55,5.68,7.99
 72-82,0,0,0,61.17,9.43,1177.71,11.44,4.08,27.94,528.86,4.66,16.01,1.2,3.3,24.43,2.47,1.77,0,997.74,0,41.8,74.7,2948,14.16,55.03,51.32,0,13.98,0,0,0,1.6,0.53,0,545.34,4.57,16.3,53.9,23.14,19.95
 84-94,0,2.22,1.6,69.07,2.69,819.95,4.43,13.67,29.35,355.74,6.88,5.82,1.19,0.85,30.84,2.98,5.24,11.16,816.5,0.71,47.04,56.7,1894.35,40.91,67.16,68.25,0,6.05,2.37,0,0,3.96,0,0,360.06,5.64,15.15,48.69,44.46,16.09
 96-106,0,0,0,87.7,21.84,731.26,8.1,10.17,13.53,451.05,3.69,12.76,0,1.13,26.61,5.48,12.56,3.42,654.86,1.31,39.87,43.07,1904.27,11.4,62.11,39.72,1.2,17.87,9.28,0,0,1.34,0,0,210.3,4.68,13.05,33.64,16.35,15.59
108-118,0,0,0.74,106.18,4.93,761.45,1.13,23.46,20.36,469.42,0.45,17.74,1.36,3.13,48.81,2.33,16,0,726.99,3.55,35.56,40.69,1953.49,14.07,50.47,66.49,0,20.33,7.98,0,0,8.06,2.11,0,137.93,2.78,28.96,29.08,33.53,6.24
120,0,4.41,1.28,178.79,5.28,987.96,19.11,46.73,73.1,1038.71,2.95,20.61,7.2,1.65,34.83,0,6.95,5.04,1124.29,0,107.93,119,4461.82,67.41,73.07,83.71,0,21.96,15,2.5,0,4.83,2.35,0,292.83,2.91,12.39,22.7,25.62,4.74
