stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,52.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.25,0,0,0,0,0,0
  7-9,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,3.28,0,0,10.61,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.81,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,0,0,0,0,0,0,0,0,17.98,0,0,2.48,0,0,0,0,0,0,0,0,3.08,0,0
 24-34,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,1.48,14.45,0,0,0,0,0,0,16.73,0.68,0.62,0,0
 36-46,0,0,0,1.16,0,0,0,0,0,0,1.18,0,1.44,0,0,5.27,0,0,0,0,0,0,7.87,0,5.32,0,0
 48-58,0,0,0,0,0,0,3.56,0,0,1.57,6.3,0,2.1,3.92,0,6.94,0,0,0,0,0,0,5.92,0,2.13,0,0
 60-70,0,1.23,0,0,0,0,2.94,0,0,1.63,14.46,0,4.76,0,0,7.24,0,0,0,0.71,0,0,20.86,0,1.72,0,0
 72-82,0,15.24,0,0,0.55,0,3.27,0,0,3.23,26.89,0,2.25,3.65,0,31.19,0,1.35,0,0,0,0,5.77,0,0,0,4.01
 84-94,0,6.11,0.57,0,0,0,4.54,0,0,0,60.33,2.45,8.96,2.48,0.81,1.24,0,0,0,0,0.87,0,29.85,0,0,0,0
 96-106,0,22.13,3.87,0,0,1.05,3.38,1,0.62,6.57,103.91,0,35.45,3,0,28.06,0,0,0,0,3.93,0,13.92,0,0,0,0
108-118,0,13.04,4.79,0,0,0,12.48,0,0,2.03,109.33,0,22.2,4.95,2.98,37.65,0.8,0.44,0,0,4.09,0,7.77,0,3.25,0.56,0
120,0,10.48,1.66,0,0,0,0,0,0,17.51,50.07,0,13.31,11.66,0,39.09,0,0,0,0,0,0,3.3,0,0,0,0
