stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,lateral_line,mesenchyme,mural_cell,muscle,neural,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.68,0,0,0,0
 10-12,0,0,3.34,0,0,0,0,0,0,0,0,8.32,0,0,0,0
 14-21,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0.75,0,0
 36-46,0,0,0,0,0,0,0,0,7.84,0,0,2.91,0,0,0,0
 48-58,0,0,0,0,0,3.24,0,0,0.66,0,0,2.04,0,1.27,0,0
 60-70,0,0,0,0.83,0,42.5,0,0,3.74,0,0,5.85,0,0,0,0.85
 72-82,0,0,0,0,0,68.99,0,0,5.28,0,2.78,1.51,0,0,0,0
 84-94,0,0,0,1,0,84.73,0,0,2.96,1.62,2.73,2.72,0,0,0,0
 96-106,0,0,0,0.74,0,94.2,0.99,0,9.97,0,0,1.14,0,0,0.96,3.05
108-118,0,0.62,0,0.72,4.37,92.21,4.55,0.53,2.71,0,2.81,0.84,0,0,2.69,4.9
120,0,0,0,4.1,0,93.21,0,0,11.69,0,0,0,1.8,0,0,0
